index,synerpair
0,"('module(attributor)', 'module(attributor)')"
1,"('module(scc-oz-module-inliner)', 'module(attributor)')"
2,"('cgscc(attributor-cgscc)', 'module(attributor)')"
3,"('function(dse)', 'module(attributor)')"
4,"('function(jump-threading)', 'module(attributor)')"
5,"('function(mem2reg)', 'module(attributor)')"
6,"('function(memcpyopt)', 'module(attributor)')"
7,"('function(newgvn)', 'module(attributor)')"
8,"('module(attributor)', 'cgscc(attributor-cgscc)')"
9,"('module(scc-oz-module-inliner)', 'cgscc(attributor-cgscc)')"
10,"('cgscc(attributor-cgscc)', 'cgscc(attributor-cgscc)')"
11,"('function(dse)', 'cgscc(attributor-cgscc)')"
12,"('function(jump-threading)', 'cgscc(attributor-cgscc)')"
13,"('function(mem2reg)', 'cgscc(attributor-cgscc)')"
14,"('function(memcpyopt)', 'cgscc(attributor-cgscc)')"
15,"('function(newgvn)', 'cgscc(attributor-cgscc)')"
16,"('module(attributor)', 'function(dse)')"
17,"('module(scc-oz-module-inliner)', 'function(dse)')"
18,"('cgscc(attributor-cgscc)', 'function(dse)')"
19,"('function(jump-threading)', 'function(dse)')"
20,"('function(mem2reg)', 'function(dse)')"
21,"('function(memcpyopt)', 'function(dse)')"
22,"('function(newgvn)', 'function(dse)')"
23,"('loop(loop-simplifycfg)', 'function(dse)')"
24,"('module(attributor)', 'function(jump-threading)')"
25,"('module(scc-oz-module-inliner)', 'function(jump-threading)')"
26,"('cgscc(attributor-cgscc)', 'function(jump-threading)')"
27,"('function(dse)', 'function(jump-threading)')"
28,"('function(mem2reg)', 'function(jump-threading)')"
29,"('function(memcpyopt)', 'function(jump-threading)')"
30,"('function(newgvn)', 'function(jump-threading)')"
31,"('module(scc-oz-module-inliner)', 'function(mem2reg)')"
32,"('function(jump-threading)', 'function(mem2reg)')"
33,"('function(newgvn)', 'function(mem2reg)')"
34,"('module(attributor)', 'function(memcpyopt)')"
35,"('module(scc-oz-module-inliner)', 'function(memcpyopt)')"
36,"('cgscc(attributor-cgscc)', 'function(memcpyopt)')"
37,"('function(dse)', 'function(memcpyopt)')"
38,"('function(jump-threading)', 'function(memcpyopt)')"
39,"('function(mem2reg)', 'function(memcpyopt)')"
40,"('function(newgvn)', 'function(memcpyopt)')"
41,"('loop(loop-simplifycfg)', 'function(memcpyopt)')"
42,"('module(attributor)', 'function(newgvn)')"
43,"('module(scc-oz-module-inliner)', 'function(newgvn)')"
44,"('cgscc(attributor-cgscc)', 'function(newgvn)')"
45,"('function(dse)', 'function(newgvn)')"
