experiment_seed,split_seed,run_id,source_rank,source_validation_obj,source_validation_mean,source_test_obj,source_test_mean,objective_kind,objective_baseline,loop_nesting_policy,backend_opt_level,feature_mode,final_sequence_length,external_report_json,external_report_md,all_external_program_count,all_external_valid_count,all_external_mean_norm,all_external_median_norm,all_external_objective,all_external_improved,all_external_tied,all_external_worsened,all_external_invalid,all_external_timeout,all_external_improved_rate,all_external_tie_rate,all_external_worsen_rate,all_external_improve_vs_baseline
456,456,20260423_181846_349217_feature_lite_seed456,1,0.830036398220476,0.8135363982204761,0.8169761270189971,0.7929761270189971,instrcount,oz,wrap,-O0,lite,11,/root/exp/RFunipassLab/external_datasets/reports/external_instrcount_lite_wrap_10seeds_20260424_seed456.json,/root/exp/RFunipassLab/external_datasets/reports/external_instrcount_lite_wrap_10seeds_20260424_seed456.md,25,18,0.6832432595118267,0.6714553444948328,0.7492432595118268,13,1,11,7,7,0.52,0.04,0.44,0.31675674048817326
457,457,20260423_184811_146360_feature_lite_seed457,2,0.8134079782915891,0.7879079782915891,0.7517219417979357,0.7397219417979357,instrcount,oz,wrap,-O0,lite,15,/root/exp/RFunipassLab/external_datasets/reports/external_instrcount_lite_wrap_10seeds_20260424_seed457.json,/root/exp/RFunipassLab/external_datasets/reports/external_instrcount_lite_wrap_10seeds_20260424_seed457.md,25,15,0.6408158122197963,0.5474137931034483,0.7068158122197963,13,1,11,10,10,0.52,0.04,0.44,0.35918418778020367
458,458,20260423_193326_468019_feature_lite_seed458,3,0.743221670685424,0.732721670685424,0.8222259570360293,0.7952259570360293,instrcount,oz,wrap,-O0,lite,20,/root/exp/RFunipassLab/external_datasets/reports/external_instrcount_lite_wrap_10seeds_20260424_seed458.json,/root/exp/RFunipassLab/external_datasets/reports/external_instrcount_lite_wrap_10seeds_20260424_seed458.md,25,14,0.6388021225788567,0.5407723434201266,0.7108021225788567,10,3,12,11,11,0.4,0.12,0.48,0.3611978774211433
459,459,20260423_203402_518521_feature_lite_seed459,4,0.7846257352210958,0.7681257352210958,0.8470259887756421,0.829025988775642,instrcount,oz,wrap,-O0,lite,11,/root/exp/RFunipassLab/external_datasets/reports/external_instrcount_lite_wrap_10seeds_20260424_seed459.json,/root/exp/RFunipassLab/external_datasets/reports/external_instrcount_lite_wrap_10seeds_20260424_seed459.md,25,15,0.8532870214857885,1.0,0.9552870214857885,7,1,17,10,10,0.28,0.04,0.68,0.1467129785142115
460,460,20260423_205014_703926_feature_lite_seed460,5,0.7295429474280276,0.7235429474280276,0.7257104433807446,0.7167104433807446,instrcount,oz,wrap,-O0,lite,15,/root/exp/RFunipassLab/external_datasets/reports/external_instrcount_lite_wrap_10seeds_20260424_seed460.json,/root/exp/RFunipassLab/external_datasets/reports/external_instrcount_lite_wrap_10seeds_20260424_seed460.md,25,15,0.602862278727352,0.5096525096525096,0.6808622787273519,11,1,13,10,10,0.44,0.04,0.52,0.397137721272648
461,461,20260423_211628_575222_feature_lite_seed461,6,0.7352891000176824,0.7292891000176824,0.8807823370743392,0.8597823370743392,instrcount,oz,wrap,-O0,lite,18,/root/exp/RFunipassLab/external_datasets/reports/external_instrcount_lite_wrap_10seeds_20260424_seed461.json,/root/exp/RFunipassLab/external_datasets/reports/external_instrcount_lite_wrap_10seeds_20260424_seed461.md,25,14,0.9190367000495466,1.0021276595744681,1.0270367000495466,6,1,18,11,11,0.24,0.04,0.72,0.08096329995045337
462,462,20260423_214113_355045_feature_lite_seed462,7,0.7448130524571981,0.7358130524571981,0.7195308234020034,0.7105308234020034,instrcount,oz,wrap,-O0,lite,14,/root/exp/RFunipassLab/external_datasets/reports/external_instrcount_lite_wrap_10seeds_20260424_seed462.json,/root/exp/RFunipassLab/external_datasets/reports/external_instrcount_lite_wrap_10seeds_20260424_seed462.md,25,15,0.5689455400251665,0.5054347826086957,0.6409455400251665,12,1,12,10,9,0.48,0.04,0.48,0.4310544599748335
463,463,20260423_221353_240005_feature_lite_seed463,8,0.671048338384954,0.6635483383849541,0.7131751685679732,0.7101751685679732,instrcount,oz,wrap,-O0,lite,22,/root/exp/RFunipassLab/external_datasets/reports/external_instrcount_lite_wrap_10seeds_20260424_seed463.json,/root/exp/RFunipassLab/external_datasets/reports/external_instrcount_lite_wrap_10seeds_20260424_seed463.md,25,15,0.513283567061843,0.40173410404624277,0.579283567061843,13,1,11,10,10,0.52,0.04,0.44,0.48671643293815703
464,464,20260423_230444_536999_feature_lite_seed464,9,0.7952243355633702,0.7772243355633702,0.8517865791940212,0.8367865791940212,instrcount,oz,wrap,-O0,lite,8,/root/exp/RFunipassLab/external_datasets/reports/external_instrcount_lite_wrap_10seeds_20260424_seed464.json,/root/exp/RFunipassLab/external_datasets/reports/external_instrcount_lite_wrap_10seeds_20260424_seed464.md,25,18,0.7816600717038787,0.8808188749878718,0.8476600717038787,13,1,11,7,7,0.52,0.04,0.44,0.21833992829612126
465,465,20260423_231957_016941_feature_lite_seed465,10,0.7642383255595543,0.7507383255595543,0.7486617390981991,0.7456617390981991,instrcount,oz,wrap,-O0,lite,14,/root/exp/RFunipassLab/external_datasets/reports/external_instrcount_lite_wrap_10seeds_20260424_seed465.json,/root/exp/RFunipassLab/external_datasets/reports/external_instrcount_lite_wrap_10seeds_20260424_seed465.md,25,15,0.6724391847891217,0.9469026548672567,0.7444391847891216,12,1,12,10,10,0.48,0.04,0.48,0.3275608152108783
