experiment_seed,run_id,suite,program_count,valid_count,mean_norm,median_norm,objective,improved,tied,worsened,invalid,timeout,improved_rate,tie_rate,worsen_rate,improve_vs_baseline,external_report_json
456,20260423_181846_349217_feature_lite_seed456,cbench,10,7,0.8770351509675756,0.9788583509513742,0.9370351509675756,5,1,4,3,3,0.5,0.1,0.4,0.12296484903242444,/root/exp/RFunipassLab/external_datasets/reports/external_instrcount_lite_wrap_10seeds_20260424_seed456.json
456,20260423_181846_349217_feature_lite_seed456,polybench,10,10,0.6157215068898145,0.5175813568670711,0.6607215068898146,7,0,3,0,0,0.7,0.0,0.3,0.38427849311018547,/root/exp/RFunipassLab/external_datasets/reports/external_instrcount_lite_wrap_10seeds_20260424_seed456.json
456,20260423_181846_349217_feature_lite_seed456,csmith,5,1,0.0019175455417066154,0.0019175455417066154,0.12191754554170661,1,0,4,4,4,0.2,0.0,0.8,0.9980824544582934,/root/exp/RFunipassLab/external_datasets/reports/external_instrcount_lite_wrap_10seeds_20260424_seed456.json
457,20260423_184811_146360_feature_lite_seed457,cbench,10,4,0.8409671970895867,0.9810673421560518,0.9309671970895866,3,1,6,6,6,0.3,0.1,0.6,0.15903280291041333,/root/exp/RFunipassLab/external_datasets/reports/external_instrcount_lite_wrap_10seeds_20260424_seed457.json
457,20260423_184811_146360_feature_lite_seed457,polybench,10,10,0.5155367436165827,0.4678019856591285,0.5155367436165827,10,0,0,0,0,1.0,0.0,0.0,0.48446325638341725,/root/exp/RFunipassLab/external_datasets/reports/external_instrcount_lite_wrap_10seeds_20260424_seed457.json
457,20260423_184811_146360_feature_lite_seed457,csmith,5,1,1.093000958772771,1.093000958772771,1.2430009587727708,0,0,5,4,4,0.0,0.0,1.0,-0.09300095877277093,/root/exp/RFunipassLab/external_datasets/reports/external_instrcount_lite_wrap_10seeds_20260424_seed457.json
458,20260423_193326_468019_feature_lite_seed458,cbench,10,4,0.7891593794772985,0.8803418803418803,0.8791593794772985,2,2,6,6,6,0.2,0.2,0.6,0.21084062052270147,/root/exp/RFunipassLab/external_datasets/reports/external_instrcount_lite_wrap_10seeds_20260424_seed458.json
458,20260423_193326_468019_feature_lite_seed458,polybench,10,10,0.5786592198194801,0.5175813568670711,0.5936592198194801,8,1,1,0,0,0.8,0.1,0.1,0.4213407801805199,/root/exp/RFunipassLab/external_datasets/reports/external_instrcount_lite_wrap_10seeds_20260424_seed458.json
458,20260423_193326_468019_feature_lite_seed458,csmith,5,0,,,,0,0,5,5,5,0.0,0.0,1.0,,/root/exp/RFunipassLab/external_datasets/reports/external_instrcount_lite_wrap_10seeds_20260424_seed458.json
459,20260423_203402_518521_feature_lite_seed459,cbench,10,4,1.0264443077847423,0.9975,1.1314443077847423,2,1,7,6,6,0.2,0.1,0.7,-0.02644430778474227,/root/exp/RFunipassLab/external_datasets/reports/external_instrcount_lite_wrap_10seeds_20260424_seed459.json
459,20260423_203402_518521_feature_lite_seed459,polybench,10,10,0.7576557813103755,0.782666606465595,0.8326557813103754,5,0,5,0,0,0.5,0.0,0.5,0.24234421868962452,/root/exp/RFunipassLab/external_datasets/reports/external_instrcount_lite_wrap_10seeds_20260424_seed459.json
459,20260423_203402_518521_feature_lite_seed459,csmith,5,1,1.1169702780441035,1.1169702780441035,1.2669702780441034,0,0,5,4,4,0.0,0.0,1.0,-0.11697027804410354,/root/exp/RFunipassLab/external_datasets/reports/external_instrcount_lite_wrap_10seeds_20260424_seed459.json
460,20260423_205014_703926_feature_lite_seed460,cbench,10,4,0.8458533053718817,0.9881444720154398,0.9508533053718817,2,1,7,6,6,0.2,0.1,0.7,0.15414669462811825,/root/exp/RFunipassLab/external_datasets/reports/external_instrcount_lite_wrap_10seeds_20260424_seed460.json
460,20260423_205014_703926_feature_lite_seed460,polybench,10,10,0.5658562186651899,0.5075436461306027,0.5958562186651899,8,0,2,0,0,0.8,0.0,0.2,0.43414378133481013,/root/exp/RFunipassLab/external_datasets/reports/external_instrcount_lite_wrap_10seeds_20260424_seed460.json
460,20260423_205014_703926_feature_lite_seed460,csmith,5,1,0.0009587727708533077,0.0009587727708533077,0.1209587727708533,1,0,4,4,4,0.2,0.0,0.8,0.9990412272291467,/root/exp/RFunipassLab/external_datasets/reports/external_instrcount_lite_wrap_10seeds_20260424_seed460.json
461,20260423_211628_575222_feature_lite_seed461,cbench,10,4,1.0031287202914556,0.9875,1.1081287202914556,2,1,7,6,6,0.2,0.1,0.7,-0.003128720291455611,/root/exp/RFunipassLab/external_datasets/reports/external_instrcount_lite_wrap_10seeds_20260424_seed461.json
461,20260423_211628_575222_feature_lite_seed461,polybench,10,10,0.885399891952783,1.0043110656880052,0.975399891952783,4,0,6,0,0,0.4,0.0,0.6,0.11460010804721699,/root/exp/RFunipassLab/external_datasets/reports/external_instrcount_lite_wrap_10seeds_20260424_seed461.json
461,20260423_211628_575222_feature_lite_seed461,csmith,5,0,,,,0,0,5,5,5,0.0,0.0,1.0,,/root/exp/RFunipassLab/external_datasets/reports/external_instrcount_lite_wrap_10seeds_20260424_seed461.json
462,20260423_214113_355045_feature_lite_seed462,cbench,10,4,0.7595970690278914,0.8212172594430659,0.8495970690278913,3,1,6,6,5,0.3,0.1,0.6,0.24040293097210863,/root/exp/RFunipassLab/external_datasets/reports/external_instrcount_lite_wrap_10seeds_20260424_seed462.json
