experiment_seed,split_seed,run_id,source_rank,source_validation_obj,source_validation_mean,source_test_obj,source_test_mean,objective_kind,objective_baseline,loop_nesting_policy,backend_opt_level,feature_mode,final_sequence_length,external_report_json,external_report_md,all_external_program_count,all_external_valid_count,all_external_mean_norm,all_external_median_norm,all_external_objective,all_external_improved,all_external_tied,all_external_worsened,all_external_invalid,all_external_timeout,all_external_improved_rate,all_external_tie_rate,all_external_worsen_rate,all_external_improve_vs_baseline
456,456,20260423_181846_349217_feature_lite_seed456,1,0.830036398220476,0.8135363982204761,0.8169761270189971,0.7929761270189971,instrcount,oz,wrap,-O0,lite,11,/root/exp/RFunipassLab/external_datasets/reports/external_instrcount_polybench_full_wrap_10seeds_20260424_seed456.json,/root/exp/RFunipassLab/external_datasets/reports/external_instrcount_polybench_full_wrap_10seeds_20260424_seed456.md,30,30,0.5645493328128921,0.4727536587359987,0.5945493328128921,24,0,6,0,0,0.8,0.0,0.2,0.4354506671871079
457,457,20260423_184811_146360_feature_lite_seed457,2,0.8134079782915891,0.7879079782915891,0.7517219417979357,0.7397219417979357,instrcount,oz,wrap,-O0,lite,15,/root/exp/RFunipassLab/external_datasets/reports/external_instrcount_polybench_full_wrap_10seeds_20260424_seed457.json,/root/exp/RFunipassLab/external_datasets/reports/external_instrcount_polybench_full_wrap_10seeds_20260424_seed457.md,30,30,0.46216868874296324,0.4078611070541843,0.46716868874296325,29,0,1,0,0,0.9666666666666667,0.0,0.03333333333333333,0.5378313112570368
458,458,20260423_193326_468019_feature_lite_seed458,3,0.743221670685424,0.732721670685424,0.8222259570360293,0.7952259570360293,instrcount,oz,wrap,-O0,lite,20,/root/exp/RFunipassLab/external_datasets/reports/external_instrcount_polybench_full_wrap_10seeds_20260424_seed458.json,/root/exp/RFunipassLab/external_datasets/reports/external_instrcount_polybench_full_wrap_10seeds_20260424_seed458.md,30,30,0.5169319992278654,0.4485870849897926,0.5319319992278654,26,1,3,0,0,0.8666666666666667,0.03333333333333333,0.1,0.48306800077213463
459,459,20260423_203402_518521_feature_lite_seed459,4,0.7846257352210958,0.7681257352210958,0.8470259887756421,0.829025988775642,instrcount,oz,wrap,-O0,lite,11,/root/exp/RFunipassLab/external_datasets/reports/external_instrcount_polybench_full_wrap_10seeds_20260424_seed459.json,/root/exp/RFunipassLab/external_datasets/reports/external_instrcount_polybench_full_wrap_10seeds_20260424_seed459.md,30,30,0.7952661446673239,0.8465010998005013,0.8702661446673239,15,0,15,0,0,0.5,0.0,0.5,0.20473385533267607
460,460,20260423_205014_703926_feature_lite_seed460,5,0.7295429474280276,0.7235429474280276,0.7257104433807446,0.7167104433807446,instrcount,oz,wrap,-O0,lite,15,/root/exp/RFunipassLab/external_datasets/reports/external_instrcount_polybench_full_wrap_10seeds_20260424_seed460.json,/root/exp/RFunipassLab/external_datasets/reports/external_instrcount_polybench_full_wrap_10seeds_20260424_seed460.md,30,30,0.5510369946642277,0.49037171229200216,0.5760369946642278,25,0,5,0,0,0.8333333333333334,0.0,0.16666666666666666,0.44896300533577227
461,461,20260423_211628_575222_feature_lite_seed461,6,0.7352891000176824,0.7292891000176824,0.8807823370743392,0.8597823370743392,instrcount,oz,wrap,-O0,lite,18,/root/exp/RFunipassLab/external_datasets/reports/external_instrcount_polybench_full_wrap_10seeds_20260424_seed461.json,/root/exp/RFunipassLab/external_datasets/reports/external_instrcount_polybench_full_wrap_10seeds_20260424_seed461.md,30,30,0.7948752190136532,0.9894971526807779,0.8498752190136531,17,2,11,0,0,0.5666666666666667,0.06666666666666667,0.36666666666666664,0.2051247809863468
462,462,20260423_214113_355045_feature_lite_seed462,7,0.7448130524571981,0.7358130524571981,0.7195308234020034,0.7105308234020034,instrcount,oz,wrap,-O0,lite,14,/root/exp/RFunipassLab/external_datasets/reports/external_instrcount_polybench_full_wrap_10seeds_20260424_seed462.json,/root/exp/RFunipassLab/external_datasets/reports/external_instrcount_polybench_full_wrap_10seeds_20260424_seed462.md,30,30,0.5214329899332139,0.45367382034912485,0.5414329899332139,26,0,4,0,0,0.8666666666666667,0.0,0.13333333333333333,0.47856701006678615
463,463,20260423_221353_240005_feature_lite_seed463,8,0.671048338384954,0.6635483383849541,0.7131751685679732,0.7101751685679732,instrcount,oz,wrap,-O0,lite,22,/root/exp/RFunipassLab/external_datasets/reports/external_instrcount_polybench_full_wrap_10seeds_20260424_seed463.json,/root/exp/RFunipassLab/external_datasets/reports/external_instrcount_polybench_full_wrap_10seeds_20260424_seed463.md,30,30,0.4601972997016689,0.37361512852698797,0.4701972997016689,28,0,2,0,0,0.9333333333333333,0.0,0.06666666666666667,0.5398027002983311
464,464,20260423_230444_536999_feature_lite_seed464,9,0.7952243355633702,0.7772243355633702,0.8517865791940212,0.8367865791940212,instrcount,oz,wrap,-O0,lite,8,/root/exp/RFunipassLab/external_datasets/reports/external_instrcount_polybench_full_wrap_10seeds_20260424_seed464.json,/root/exp/RFunipassLab/external_datasets/reports/external_instrcount_polybench_full_wrap_10seeds_20260424_seed464.md,30,30,0.6793277472655335,0.656641397495056,0.7143277472655335,23,0,7,0,0,0.7666666666666667,0.0,0.23333333333333334,0.32067225273446653
465,465,20260423_231957_016941_feature_lite_seed465,10,0.7642383255595543,0.7507383255595543,0.7486617390981991,0.7456617390981991,instrcount,oz,wrap,-O0,lite,14,/root/exp/RFunipassLab/external_datasets/reports/external_instrcount_polybench_full_wrap_10seeds_20260424_seed465.json,/root/exp/RFunipassLab/external_datasets/reports/external_instrcount_polybench_full_wrap_10seeds_20260424_seed465.md,30,30,0.6729080650765502,0.531853400565736,0.6879080650765502,25,2,3,0,0,0.8333333333333334,0.06666666666666667,0.1,0.3270919349234498
