seed,program_count,finite_ratio_count,geomean_ratio_vs_o3,mean_ratio_vs_o3,median_ratio_vs_o3,speedup_vs_o3,geomean_ratio_vs_none,improved,tied,worsened,timeout,invalid,worsen_rate,invalid_rate,worsen_or_invalid_rate
456,10,7,2.5569535469213327,3.3059813451432354,5.0,0.39109040569158454,1.3127108769560611,1,0,6,4,3,0.6,0.3,0.9
457,10,8,3.36080713177797,4.005261806053381,5.0,0.2975475713987102,1.643430398627258,0,1,7,6,2,0.7,0.2,0.9
458,10,5,2.6831684075443056,3.4219193167964095,5.0,0.3726937143372308,1.5594444916334136,0,0,5,3,5,0.5,0.5,1.0
459,10,5,1.0303579285789883,1.0309254874084401,1.0120060148372996,0.9705365215941452,0.5988390410439736,0,2,3,0,5,0.3,0.5,0.8
460,10,4,2.286564380499494,3.0228401245590373,3.0244433137249267,0.4373373470383338,1.102417510682665,0,0,4,2,6,0.4,0.6,1.0
461,10,8,1.606259378568174,2.0866378269011556,1.0488016301852563,0.6225644583575313,0.7854587863310514,0,1,7,2,2,0.7,0.2,0.9
462,10,5,2.656658237246544,3.411689098470679,5.0,0.3764127376189855,1.2241279564086287,0,1,4,3,5,0.4,0.5,0.9
463,10,10,4.2877780444988645,4.6075456682475115,5.0,0.23322102721314608,2.0915610679191143,0,0,10,9,0,1.0,0.0,1.0
464,10,7,2.5238322025331494,3.2921065493418618,5.0,0.3962228546716807,1.2957067553559147,1,1,5,4,3,0.5,0.3,0.8
465,10,6,35685.5748202492,371364643.2782801,295876891.22705,2.8022527450855748e-05,19359.546568028505,1,0,5,1,4,0.5,0.4,0.9
