seed,program_count,finite_ratio_count,geomean_ratio_vs_oz,mean_ratio_vs_oz,median_ratio_vs_oz,speedup_vs_oz,geomean_ratio_vs_none,improved,tied,worsened,timeout,invalid,worsen_rate,invalid_rate,worsen_or_invalid_rate
456,10,7,2.510257152571514,3.286430388458233,5.0,0.398365561462736,1.4192706206168284,0,2,5,4,3,0.5,0.3,0.8
457,10,8,3.351044951538865,4.002209178592852,5.0,0.2984143795328023,2.2407224099961263,0,1,7,6,2,0.7,0.2,0.9
458,10,5,2.6495611096704423,3.409008946497105,5.0,0.3774209986515019,1.5657259589851529,0,1,4,3,5,0.4,0.5,0.9
459,10,5,1.0134904274375867,1.0137516896514485,0.9993081021841167,0.9866891417300363,0.598909859308496,1,2,2,0,5,0.2,0.5,0.7
460,10,4,2.281965065671801,3.0208378183260565,3.031112850814084,0.43821880318996215,1.1252746664880802,0,0,4,2,6,0.4,0.6,1.0
461,10,8,1.2089855558441673,1.4925488375553995,1.03095095205043,0.8271397413857071,0.8084048610262964,1,1,6,1,2,0.6,0.2,0.8
462,10,5,2.681228181846616,3.4211565960531614,5.0,0.37296340787798216,1.3704337758069194,0,0,5,3,5,0.5,0.5,1.0
463,10,10,4.274592106556701,4.604283777785775,5.0,0.23394044977206652,2.725135060870946,0,0,10,9,0,1.0,0.0,1.0
464,10,7,2.51704582537368,3.289207418858438,5.0,0.39729113785663406,1.4231088584050267,0,2,5,4,3,0.5,0.3,0.8
465,10,6,32501.29247552924,318750025.58320177,277893686.1259866,3.076800717241988e-05,19200.94807784356,1,1,4,1,4,0.4,0.4,0.8
