seed,suite,benchmark,pipeline_label,repeat_count,polybench_seconds_mean,polybench_seconds_median,polybench_seconds_std,polybench_seconds_ci95,wall_seconds_mean,wall_seconds_median
,polybench_full,2mm,none,1,5.72128,5.72128,0.0,0.0,5.771978254895657,5.771978254895657
,polybench_full,2mm,oz,1,2.326776,2.326776,0.0,0.0,2.3499646631535143,2.3499646631535143
,polybench_full,3mm,none,1,9.129119,9.129119,0.0,0.0,9.18261694489047,9.18261694489047
,polybench_full,3mm,oz,1,3.055797,3.055797,0.0,0.0,3.0842415168881416,3.0842415168881416
,polybench_full,adi,none,1,14.738821,14.738821,0.0,0.0,14.769770468818024,14.769770468818024
,polybench_full,adi,oz,1,14.818982,14.818982,0.0,0.0,14.83026014897041,14.83026014897041
,polybench_full,atax,none,1,0.021566,0.021566,0.0,0.0,0.06953631294891238,0.06953631294891238
,polybench_full,atax,oz,1,0.012463,0.012463,0.0,0.0,0.040536286076530814,0.040536286076530814
,polybench_full,bicg,none,1,0.016194,0.016194,0.0,0.0,0.06695216684602201,0.06695216684602201
,polybench_full,bicg,oz,1,0.014389,0.014389,0.0,0.0,0.04125008196569979,0.04125008196569979
,polybench_full,cholesky,none,1,4.175584,4.175584,0.0,0.0,26.356787882978097,26.356787882978097
,polybench_full,cholesky,oz,1,4.119135,4.119135,0.0,0.0,19.988768924959004,19.988768924959004
,polybench_full,correlation,none,1,4.532434,4.532434,0.0,0.0,4.563304980052635,4.563304980052635
,polybench_full,correlation,oz,1,5.378142,5.378142,0.0,0.0,5.392478936119005,5.392478936119005
,polybench_full,covariance,none,1,4.516368,4.516368,0.0,0.0,4.550129973096773,4.550129973096773
,polybench_full,covariance,oz,1,5.456742,5.456742,0.0,0.0,5.468177770962939,5.468177770962939
,polybench_full,deriche,none,1,0.390558,0.390558,0.0,0.0,0.45536887692287564,0.45536887692287564
,polybench_full,deriche,oz,1,0.290129,0.290129,0.0,0.0,0.32554829493165016,0.32554829493165016
,polybench_full,doitgen,none,1,1.70058,1.70058,0.0,0.0,1.748902722960338,1.748902722960338
,polybench_full,doitgen,oz,1,0.380699,0.380699,0.0,0.0,0.40387848298996687,0.40387848298996687
,polybench_full,durbin,none,1,0.0154,0.0154,0.0,0.0,0.03502214280888438,0.03502214280888438
,polybench_full,durbin,oz,1,0.00605,0.00605,0.0,0.0,0.007898980053141713,0.007898980053141713
,polybench_full,fdtd-2d,none,1,4.405578,4.405578,0.0,0.0,4.447587036993355,4.447587036993355
,polybench_full,fdtd-2d,oz,1,2.115385,2.115385,0.0,0.0,2.138388440012932,2.138388440012932
,polybench_full,floyd-warshall,none,1,61.024074,61.024074,0.0,0.0,61.09046324878,61.09046324878
,polybench_full,floyd-warshall,oz,1,14.874585,14.874585,0.0,0.0,14.923272646963596,14.923272646963596
,polybench_full,gemm,none,1,3.284064,3.284064,0.0,0.0,3.331711553968489,3.331711553968489
