seed,program_count,finite_ratio_count,geomean_ratio_vs_oz,mean_ratio_vs_oz,median_ratio_vs_oz,speedup_vs_oz,geomean_ratio_vs_none,improved,tied,worsened,timeout,invalid,worsen_rate,invalid_rate,worsen_or_invalid_rate
456,30,24,12.65296230745078,218.69380253331758,5.0,0.0790328759148475,7.353032740033579,1,1,22,18,6,0.7333333333333333,0.2,0.9333333333333333
457,30,24,15.327051186426178,219.18306975783727,5.0,0.06524412216262526,9.770259872400215,1,0,23,21,6,0.7666666666666667,0.2,0.9666666666666667
458,30,18,16.474311079027476,209.4118368429509,5.0,0.06070056557770383,9.68090158565509,1,0,17,15,12,0.5666666666666667,0.4,0.9666666666666667
459,30,19,4.694168511916876,242.00760176731393,1.0105906904156263,0.21303027308485936,2.8463993292288725,6,3,10,5,11,0.3333333333333333,0.36666666666666664,0.7
460,30,11,13.458686408232484,286.316022738234,5.0,0.07430145629875992,8.727522845756727,1,1,9,7,19,0.3,0.6333333333333333,0.9333333333333333
461,30,22,2.045871755603355,110.13323789405173,0.982630569283562,0.48878919084793104,1.2471802152882223,12,1,9,4,8,0.3,0.26666666666666666,0.5666666666666667
462,30,18,22.552450567267904,290.59159089084477,5.0,0.044341079343784326,12.831078244250513,1,0,17,15,12,0.5666666666666667,0.4,0.9666666666666667
463,30,28,13.130364357016314,125.58895452273269,5.0,0.07615934888095029,8.442003140202024,1,0,27,27,2,0.9,0.06666666666666667,0.9666666666666667
464,30,24,9.356353218813773,184.2840242468849,5.0,0.10687924842225902,5.4372699351790805,1,3,20,17,6,0.6666666666666666,0.2,0.8666666666666667
465,30,19,461262.1345925726,11705426079.591225,120003205.3358875,2.167964645273318e-06,273043.39502651506,1,0,18,6,11,0.6,0.36666666666666664,0.9666666666666667
