suite,name,ll_path,outer_split,inner_split,compiler_gym_suite,origin
blas,10,/root/exp/PerProgramAutoTune/datasets/compiler_gym_llvm21/ir/blas/10.ll,test,test,blas-v0,local:/root/DJY/dataset/train/blas-v0
blas,103,/root/exp/PerProgramAutoTune/datasets/compiler_gym_llvm21/ir/blas/103.ll,test,test,blas-v0,local:/root/DJY/dataset/train/blas-v0
blas,104,/root/exp/PerProgramAutoTune/datasets/compiler_gym_llvm21/ir/blas/104.ll,train_pool,search_train,blas-v0,local:/root/DJY/dataset/train/blas-v0
blas,105,/root/exp/PerProgramAutoTune/datasets/compiler_gym_llvm21/ir/blas/105.ll,test,test,blas-v0,local:/root/DJY/dataset/train/blas-v0
blas,106,/root/exp/PerProgramAutoTune/datasets/compiler_gym_llvm21/ir/blas/106.ll,test,test,blas-v0,local:/root/DJY/dataset/train/blas-v0
blas,108,/root/exp/PerProgramAutoTune/datasets/compiler_gym_llvm21/ir/blas/108.ll,test,test,blas-v0,local:/root/DJY/dataset/train/blas-v0
blas,109,/root/exp/PerProgramAutoTune/datasets/compiler_gym_llvm21/ir/blas/109.ll,test,test,blas-v0,local:/root/DJY/dataset/train/blas-v0
blas,11,/root/exp/PerProgramAutoTune/datasets/compiler_gym_llvm21/ir/blas/11.ll,test,test,blas-v0,local:/root/DJY/dataset/train/blas-v0
blas,110,/root/exp/PerProgramAutoTune/datasets/compiler_gym_llvm21/ir/blas/110.ll,train_pool,validation,blas-v0,local:/root/DJY/dataset/test/blas-v0
blas,111,/root/exp/PerProgramAutoTune/datasets/compiler_gym_llvm21/ir/blas/111.ll,test,test,blas-v0,local:/root/DJY/dataset/train/blas-v0
blas,112,/root/exp/PerProgramAutoTune/datasets/compiler_gym_llvm21/ir/blas/112.ll,train_pool,search_train,blas-v0,local:/root/DJY/dataset/train/blas-v0
blas,113,/root/exp/PerProgramAutoTune/datasets/compiler_gym_llvm21/ir/blas/113.ll,test,test,blas-v0,local:/root/DJY/dataset/train/blas-v0
blas,116,/root/exp/PerProgramAutoTune/datasets/compiler_gym_llvm21/ir/blas/116.ll,test,test,blas-v0,local:/root/DJY/dataset/train/blas-v0
