suite,name,ll_path,outer_split,inner_split,compiler_gym_suite,origin
cbench,adpcm,/root/exp/PerProgramAutoTune/datasets/compiler_gym_llvm21/ir/cbench/adpcm.ll,test,test,cbench-v1,local:/root/DJY/dataset/test/cbench-v1
cbench,bitcount,/root/exp/PerProgramAutoTune/datasets/compiler_gym_llvm21/ir/cbench/bitcount.ll,test,test,cbench-v1,local:/root/DJY/dataset/test/cbench-v1
cbench,blowfish,/root/exp/PerProgramAutoTune/datasets/compiler_gym_llvm21/ir/cbench/blowfish.ll,test,test,cbench-v1,local:/root/DJY/dataset/test/cbench-v1
cbench,crc32,/root/exp/PerProgramAutoTune/datasets/compiler_gym_llvm21/ir/cbench/crc32.ll,test,test,cbench-v1,local:/root/DJY/dataset/test/cbench-v1
cbench,dijkstra,/root/exp/PerProgramAutoTune/datasets/compiler_gym_llvm21/ir/cbench/dijkstra.ll,test,test,cbench-v1,local:/root/DJY/dataset/test/cbench-v1
cbench,patricia,/root/exp/PerProgramAutoTune/datasets/compiler_gym_llvm21/ir/cbench/patricia.ll,test,test,cbench-v1,local:/root/DJY/dataset/test/cbench-v1
cbench,qsort,/root/exp/PerProgramAutoTune/datasets/compiler_gym_llvm21/ir/cbench/qsort.ll,test,test,cbench-v1,local:/root/DJY/dataset/test/cbench-v1
cbench,rijndael,/root/exp/PerProgramAutoTune/datasets/compiler_gym_llvm21/ir/cbench/rijndael.ll,train_pool,search_train,cbench-v1,local:/root/DJY/dataset/test/cbench-v1
cbench,sha,/root/exp/PerProgramAutoTune/datasets/compiler_gym_llvm21/ir/cbench/sha.ll,test,test,cbench-v1,local:/root/DJY/dataset/test/cbench-v1
cbench,stringsearch,/root/exp/PerProgramAutoTune/datasets/compiler_gym_llvm21/ir/cbench/stringsearch.ll,test,test,cbench-v1,local:/root/DJY/dataset/test/cbench-v1
cbench,stringsearch2,/root/exp/PerProgramAutoTune/datasets/compiler_gym_llvm21/ir/cbench/stringsearch2.ll,train_pool,validation,cbench-v1,local:/root/DJY/dataset/test/cbench-v1
chstone,adpcm,/root/exp/PerProgramAutoTune/datasets/compiler_gym_llvm21/ir/chstone/adpcm.ll,test,test,chstone-v0,local:/root/DJY/dataset/test/chstone-v0
chstone,aes,/root/exp/PerProgramAutoTune/datasets/compiler_gym_llvm21/ir/chstone/aes.ll,test,test,chstone-v0,local:/root/DJY/dataset/test/chstone-v0
chstone,blowfish,/root/exp/PerProgramAutoTune/datasets/compiler_gym_llvm21/ir/chstone/blowfish.ll,test,test,chstone-v0,local:/root/DJY/dataset/test/chstone-v0
chstone,dfadd,/root/exp/PerProgramAutoTune/datasets/compiler_gym_llvm21/ir/chstone/dfadd.ll,test,test,chstone-v0,local:/root/DJY/dataset/test/chstone-v0
chstone,dfdiv,/root/exp/PerProgramAutoTune/datasets/compiler_gym_llvm21/ir/chstone/dfdiv.ll,test,test,chstone-v0,local:/root/DJY/dataset/test/chstone-v0
chstone,dfmul,/root/exp/PerProgramAutoTune/datasets/compiler_gym_llvm21/ir/chstone/dfmul.ll,test,test,chstone-v0,local:/root/DJY/dataset/test/chstone-v0
chstone,dfsin,/root/exp/PerProgramAutoTune/datasets/compiler_gym_llvm21/ir/chstone/dfsin.ll,train_pool,validation,chstone-v0,local:/root/DJY/dataset/test/chstone-v0
chstone,gsm,/root/exp/PerProgramAutoTune/datasets/compiler_gym_llvm21/ir/chstone/gsm.ll,test,test,chstone-v0,local:/root/DJY/dataset/test/chstone-v0
chstone,jpeg,/root/exp/PerProgramAutoTune/datasets/compiler_gym_llvm21/ir/chstone/jpeg.ll,test,test,chstone-v0,local:/root/DJY/dataset/test/chstone-v0
chstone,mips,/root/exp/PerProgramAutoTune/datasets/compiler_gym_llvm21/ir/chstone/mips.ll,test,test,chstone-v0,local:/root/DJY/dataset/test/chstone-v0
chstone,motion,/root/exp/PerProgramAutoTune/datasets/compiler_gym_llvm21/ir/chstone/motion.ll,test,test,chstone-v0,local:/root/DJY/dataset/test/chstone-v0
chstone,sha,/root/exp/PerProgramAutoTune/datasets/compiler_gym_llvm21/ir/chstone/sha.ll,train_pool,validation,chstone-v0,local:/root/DJY/dataset/test/chstone-v0
