selection_split,counterfactual_split,pass_name,mutation,status,error,original_objective,mutated_objective,delta_objective,original_mean_norm,mutated_mean_norm,delta_mean_norm,original_worsen_rate,mutated_worsen_rate,delta_worsen_rate,mutated_sequence
validation,selection,module(elim-avail-extern),delete_first,ok,,0.7518247146916819,1.0524538471085019,0.30062913241682,0.7398247146916819,0.9879538471085019,0.24812913241682,0.08,0.43,0.35,"['module(iroutliner)', 'function(gvn-hoist)', 'module(inferattrs)', 'module(attributor)', np.str_('module(globalopt)'), 'module(iroutliner)', 'module(attributor)', 'module(iroutliner)', 'function(newgvn)', np.str_('module(attributor)'), 'module(scc-oz-module-inliner)', np.str_('module(attributor)'), np.str_('module(attributor)'), 'function(gvn-sink)', 'function(newgvn)', 'module(scc-oz-module-inliner)', np.str_('module(scc-oz-module-inliner)')]"
validation,selection,module(elim-avail-extern),duplicate_after_first,ok,,0.7518247146916819,0.7518247146916819,0.0,0.7398247146916819,0.7398247146916819,0.0,0.08,0.08,0.0,"['module(elim-avail-extern)', 'module(elim-avail-extern)', 'module(iroutliner)', 'function(gvn-hoist)', 'module(inferattrs)', 'module(attributor)', np.str_('module(globalopt)'), 'module(iroutliner)', 'module(attributor)', 'module(iroutliner)', 'function(newgvn)', np.str_('module(attributor)'), 'module(scc-oz-module-inliner)', np.str_('module(attributor)'), np.str_('module(attributor)'), 'function(gvn-sink)', 'function(newgvn)', 'module(scc-oz-module-inliner)', np.str_('module(scc-oz-module-inliner)')]"
validation,selection,module(elim-avail-extern),append_once,ok,,0.7518247146916819,0.7518247146916819,0.0,0.7398247146916819,0.7398247146916819,0.0,0.08,0.08,0.0,"['module(elim-avail-extern)', 'module(iroutliner)', 'function(gvn-hoist)', 'module(inferattrs)', 'module(attributor)', np.str_('module(globalopt)'), 'module(iroutliner)', 'module(attributor)', 'module(iroutliner)', 'function(newgvn)', np.str_('module(attributor)'), 'module(scc-oz-module-inliner)', np.str_('module(attributor)'), np.str_('module(attributor)'), 'function(gvn-sink)', 'function(newgvn)', 'module(scc-oz-module-inliner)', np.str_('module(scc-oz-module-inliner)'), 'module(elim-avail-extern)']"
validation,selection,module(globalopt),delete_first,ok,,0.7518247146916819,0.9232579895318487,0.1714332748401668,0.7398247146916819,0.8752579895318486,0.13543327484016676,0.08,0.32,0.24,"['module(elim-avail-extern)', 'module(iroutliner)', 'function(gvn-hoist)', 'module(inferattrs)', 'module(attributor)', 'module(iroutliner)', 'module(attributor)', 'module(iroutliner)', 'function(newgvn)', np.str_('module(attributor)'), 'module(scc-oz-module-inliner)', np.str_('module(attributor)'), np.str_('module(attributor)'), 'function(gvn-sink)', 'function(newgvn)', 'module(scc-oz-module-inliner)', np.str_('module(scc-oz-module-inliner)')]"
validation,selection,module(globalopt),duplicate_after_first,ok,,0.7518247146916819,0.7518247146916819,0.0,0.7398247146916819,0.7398247146916819,0.0,0.08,0.08,0.0,"['module(elim-avail-extern)', 'module(iroutliner)', 'function(gvn-hoist)', 'module(inferattrs)', 'module(attributor)', np.str_('module(globalopt)'), 'module(globalopt)', 'module(iroutliner)', 'module(attributor)', 'module(iroutliner)', 'function(newgvn)', np.str_('module(attributor)'), 'module(scc-oz-module-inliner)', np.str_('module(attributor)'), np.str_('module(attributor)'), 'function(gvn-sink)', 'function(newgvn)', 'module(scc-oz-module-inliner)', np.str_('module(scc-oz-module-inliner)')]"
validation,selection,module(globalopt),append_once,ok,,0.7518247146916819,0.7518247146916819,0.0,0.7398247146916819,0.7398247146916819,0.0,0.08,0.08,0.0,"['module(elim-avail-extern)', 'module(iroutliner)', 'function(gvn-hoist)', 'module(inferattrs)', 'module(attributor)', np.str_('module(globalopt)'), 'module(iroutliner)', 'module(attributor)', 'module(iroutliner)', 'function(newgvn)', np.str_('module(attributor)'), 'module(scc-oz-module-inliner)', np.str_('module(attributor)'), np.str_('module(attributor)'), 'function(gvn-sink)', 'function(newgvn)', 'module(scc-oz-module-inliner)', np.str_('module(scc-oz-module-inliner)'), 'module(globalopt)']"
validation,selection,function(instsimplify),append_once,ok,,0.7518247146916819,0.7518247146916819,0.0,0.7398247146916819,0.7398247146916819,0.0,0.08,0.08,0.0,"['module(elim-avail-extern)', 'module(iroutliner)', 'function(gvn-hoist)', 'module(inferattrs)', 'module(attributor)', np.str_('module(globalopt)'), 'module(iroutliner)', 'module(attributor)', 'module(iroutliner)', 'function(newgvn)', np.str_('module(attributor)'), 'module(scc-oz-module-inliner)', np.str_('module(attributor)'), np.str_('module(attributor)'), 'function(gvn-sink)', 'function(newgvn)', 'module(scc-oz-module-inliner)', np.str_('module(scc-oz-module-inliner)'), 'function(instsimplify)']"
validation,selection,function(gvn-hoist),delete_first,ok,,0.7518247146916819,0.771857776127223,0.020033061435541066,0.7398247146916819,0.758357776127223,0.01853306143554112,0.08,0.09,0.009999999999999995,"['module(elim-avail-extern)', 'module(iroutliner)', 'module(inferattrs)', 'module(attributor)', np.str_('module(globalopt)'), 'module(iroutliner)', 'module(attributor)', 'module(iroutliner)', 'function(newgvn)', np.str_('module(attributor)'), 'module(scc-oz-module-inliner)', np.str_('module(attributor)'), np.str_('module(attributor)'), 'function(gvn-sink)', 'function(newgvn)', 'module(scc-oz-module-inliner)', np.str_('module(scc-oz-module-inliner)')]"
validation,selection,function(gvn-hoist),duplicate_after_first,ok,,0.7518247146916819,0.7518247146916819,0.0,0.7398247146916819,0.7398247146916819,0.0,0.08,0.08,0.0,"['module(elim-avail-extern)', 'module(iroutliner)', 'function(gvn-hoist)', 'function(gvn-hoist)', 'module(inferattrs)', 'module(attributor)', np.str_('module(globalopt)'), 'module(iroutliner)', 'module(attributor)', 'module(iroutliner)', 'function(newgvn)', np.str_('module(attributor)'), 'module(scc-oz-module-inliner)', np.str_('module(attributor)'), np.str_('module(attributor)'), 'function(gvn-sink)', 'function(newgvn)', 'module(scc-oz-module-inliner)', np.str_('module(scc-oz-module-inliner)')]"
validation,selection,function(gvn-hoist),append_once,ok,,0.7518247146916819,0.7511232771525611,-0.000701437539120775,0.7398247146916819,0.7391232771525611,-0.000701437539120775,0.08,0.08,0.0,"['module(elim-avail-extern)', 'module(iroutliner)', 'function(gvn-hoist)', 'module(inferattrs)', 'module(attributor)', np.str_('module(globalopt)'), 'module(iroutliner)', 'module(attributor)', 'module(iroutliner)', 'function(newgvn)', np.str_('module(attributor)'), 'module(scc-oz-module-inliner)', np.str_('module(attributor)'), np.str_('module(attributor)'), 'function(gvn-sink)', 'function(newgvn)', 'module(scc-oz-module-inliner)', np.str_('module(scc-oz-module-inliner)'), 'function(gvn-hoist)']"
