feature_index,feature_name,feature_group,feature_mode,pass_name,scope,edge_source,edge_target,mdi_importance,permutation_mean,permutation_std,mdi_rank,permutation_rank
23,synergy_rate,synergy,lite,,,,,0.11007117241069041,0.0054997805440163815,0.002034112818945367,3,1
0,pass_freq:module(elim-avail-extern),pass_freq,lite,module(elim-avail-extern),module,,,0.14742433276493802,0.00434154421232099,0.001653465463511274,1,2
1,pass_freq:module(globalopt),pass_freq,lite,module(globalopt),module,,,0.0995299205182433,0.001640721378563935,0.0007185763905078446,4,3
27,scope_ratio:function,scope_ratio,lite,,function,,,0.11339254250188961,0.001620796833974669,0.0011179599576851408,2,4
20,pass_coverage,sequence_shape,lite,,,,,0.0728586067093085,0.0014838888804730881,0.0006713215826731463,5,5
5,pass_freq:function(instsimplify),pass_freq,lite,function(instsimplify),function,,,0.02445239462394609,0.0009049802198557121,0.0006169542993237341,13,6
9,pass_freq:function(gvn-hoist),pass_freq,lite,function(gvn-hoist),function,,,0.012641843267657292,0.0007552755170002676,0.00047373310802466273,16,7
19,seq_len_ratio,sequence_shape,lite,,,,,0.0678102542496459,0.000645796531952279,0.0007779796935396652,7,8
11,pass_freq:function(jump-threading),pass_freq,lite,function(jump-threading),function,,,0.01539389577961461,0.000473733352411854,0.0003524368496320905,15,9
17,pass_freq:loop(loop-simplifycfg),pass_freq,lite,loop(loop-simplifycfg),loop,,,0.018304018732677882,0.00042274630319563065,0.0003325495668499275,14,10
15,pass_freq:function(gvn-sink),pass_freq,lite,function(gvn-sink),function,,,0.00682110462184931,0.0004092545143265427,0.00023389802295037575,18,11
21,repeat_mass_ratio,sequence_shape,lite,,,,,0.03885320714861931,0.00032074697180304104,0.0005377955963827672,9,12
3,pass_freq:module(scc-oz-module-inliner),pass_freq,lite,module(scc-oz-module-inliner),module,,,0.02836417647002704,0.000304246615196198,0.0005937420469312177,12,13
22,max_repeat_ratio,sequence_shape,lite,,,,,0.02991341566525238,0.00029726699323805747,0.0002866724811044861,11,14
26,scope_ratio:module,scope_ratio,lite,,module,,,0.0692935291899012,0.00020007008418938092,0.0003508181669584856,6,15
8,pass_freq:function(memcpyopt),pass_freq,lite,function(memcpyopt),function,,,0.0048581225542467825,0.00019758863880126078,0.00013320899092324483,21,16
14,pass_freq:function(newgvn),pass_freq,lite,function(newgvn),function,,,0.002156118503289477,0.00014581841046260486,5.080912501281983e-05,27,17
2,pass_freq:cgscc(attributor-cgscc),pass_freq,lite,cgscc(attributor-cgscc),cgscc,,,0.003243748748197011,0.00011380843394020821,0.00013598170917670076,24,18
4,pass_freq:function(mem2reg),pass_freq,lite,function(mem2reg),function,,,0.0024197522807045536,8.067308753406214e-05,3.2254197288582694e-05,26,19
13,pass_freq:function(dse),pass_freq,lite,function(dse),function,,,0.003361705479540655,7.279681750071449e-05,0.00012827690817801687,23,20
25,self_loop_coverage,self_loop,lite,,,,,0.004483185737742952,4.0520743719733854e-05,0.00011359169815458524,22,21
12,pass_freq:module(attributor),pass_freq,lite,module(attributor),module,,,0.0026520734309390314,3.895786283803684e-05,6.559104176570753e-05,25,22
18,pass_freq:function(lower-switch),pass_freq,lite,function(lower-switch),function,,,0.0,0.0,0.0,30,23
30,scope_ratio:other,scope_ratio,lite,,other,,,0.0,0.0,0.0,31,24
7,pass_freq:function(reassociate),pass_freq,lite,function(reassociate),function,,,0.0013704331388018534,-1.3701270307662702e-05,3.354082705162713e-05,28,25
28,scope_ratio:cgscc,scope_ratio,lite,,cgscc,,,0.006207843582643576,-1.4903683472627938e-05,8.812121585797492e-05,19,26
16,pass_freq:module(inferattrs),pass_freq,lite,module(inferattrs),module,,,0.001261202961928336,-3.867286290673584e-05,2.6391974416221958e-05,29,27
6,pass_freq:module(iroutliner),pass_freq,lite,module(iroutliner),module,,,0.005762089353202228,-5.309657632062443e-05,0.00013993825524906257,20,28
10,pass_freq:function(dce),pass_freq,lite,function(dce),function,,,0.011157319674019535,-5.694461388192108e-05,0.00017541111533007813,17,29
29,scope_ratio:loop,scope_ratio,lite,,loop,,,0.03144606536289451,-6.103935182083693e-05,0.00044474731011208174,10,30
24,self_loop_hit_rate,self_loop,lite,,,,,0.06449592453758864,-0.000446141739345615,0.0011585710942920813,8,31
