feature_index,feature_name,feature_group,feature_mode,pass_name,scope,edge_source,edge_target,mdi_importance,permutation_mean,permutation_std,mdi_rank,permutation_rank
23,synergy_rate,synergy,lite,,,,,0.19014093825092165,0.00970758149215339,0.0030990202946059925,1,1
9,pass_freq:module(elim-avail-extern),pass_freq,lite,module(elim-avail-extern),module,,,0.10415426236390832,0.0041849484342797085,0.0013374999237139222,3,2
1,pass_freq:module(scc-oz-module-inliner),pass_freq,lite,module(scc-oz-module-inliner),module,,,0.07954499154417062,0.002684070144768726,0.0005080262911004171,4,3
8,pass_freq:module(globalopt),pass_freq,lite,module(globalopt),module,,,0.12839920695468063,0.0025246478789969183,0.0010453523537489139,2,4
26,scope_ratio:module,scope_ratio,lite,,module,,,0.06860111427355907,0.0012466543127078317,0.0006994912234177259,5,5
27,scope_ratio:function,scope_ratio,lite,,function,,,0.04981151819054906,0.0010820659966278986,0.0007309150578514333,8,6
20,pass_coverage,sequence_shape,lite,,,,,0.06019516918676533,0.0010497968263872546,0.0011570781938899555,6,7
12,pass_freq:module(iroutliner),pass_freq,lite,module(iroutliner),module,,,0.01176203416990636,0.0003372326922801023,0.0002899223085582495,17,8
7,pass_freq:module(attributor),pass_freq,lite,module(attributor),module,,,0.009951324673828456,0.0002524339476597075,9.653713893762894e-05,20,9
16,pass_freq:function(mem2reg),pass_freq,lite,function(mem2reg),function,,,0.007693115885179923,0.0001479218773516493,0.0002343150227460955,23,10
11,pass_freq:function(memcpyopt),pass_freq,lite,function(memcpyopt),function,,,0.012411203950729335,5.667624179066036e-05,0.0003467306312981436,16,11
21,repeat_mass_ratio,sequence_shape,lite,,,,,0.01848265321537575,5.274934586807605e-05,9.337569495932367e-05,13,12
29,scope_ratio:loop,scope_ratio,lite,,loop,,,0.052081152533103046,4.5325693383851255e-05,0.0006125771338931205,7,13
6,pass_freq:function(dce),pass_freq,lite,function(dce),function,,,0.004136480115010856,4.5123318849652445e-05,5.7588594043631267e-05,24,14
25,self_loop_coverage,self_loop,lite,,,,,0.00851716602765841,3.1984643616549295e-05,0.00013245173749327845,21,15
14,pass_freq:function(gvn-sink),pass_freq,lite,function(gvn-sink),function,,,0.003997305101895063,1.3511972660574731e-05,5.108140719579124e-05,25,16
18,pass_freq:function(lower-switch),pass_freq,lite,function(lower-switch),function,,,0.00044409669141435773,1.3324519523427724e-05,4.8227353608788856e-06,30,17
30,scope_ratio:other,scope_ratio,lite,,other,,,0.0,0.0,0.0,31,18
0,pass_freq:module(inferattrs),pass_freq,lite,module(inferattrs),module,,,0.0027008136240978925,-1.0701537616025596e-05,4.5764809551029665e-05,29,19
4,pass_freq:function(dse),pass_freq,lite,function(dse),function,,,0.010672594506827058,-1.1634603439474554e-05,0.00018043174421169294,18,20
10,pass_freq:function(reassociate),pass_freq,lite,function(reassociate),function,,,0.0034881798486899747,-2.6257387050066493e-05,9.149392926277915e-05,27,21
22,max_repeat_ratio,sequence_shape,lite,,,,,0.032568363157698496,-3.0127020333363917e-05,0.0002494245417777275,9,22
19,seq_len_ratio,sequence_shape,lite,,,,,0.02603780024545892,-4.729800656228748e-05,0.00030211238385614755,12,23
2,pass_freq:function(gvn-hoist),pass_freq,lite,function(gvn-hoist),function,,,0.013817727396917247,-7.534886123216986e-05,9.211942171736245e-05,15,24
5,pass_freq:function(jump-threading),pass_freq,lite,function(jump-threading),function,,,0.008324363824383025,-9.55625792019802e-05,6.626006983194752e-05,22,25
17,pass_freq:loop(loop-simplifycfg),pass_freq,lite,loop(loop-simplifycfg),loop,,,0.003489429646624947,-9.96317286126926e-05,8.126302686061563e-05,26,26
3,pass_freq:cgscc(attributor-cgscc),pass_freq,lite,cgscc(attributor-cgscc),cgscc,,,0.003158445163863001,-0.0001519276959457326,5.443884374470676e-05,28,27
28,scope_ratio:cgscc,scope_ratio,lite,,cgscc,,,0.026578096918561004,-0.00018243705903795896,0.00020524381653377668,11,28
24,self_loop_hit_rate,self_loop,lite,,,,,0.03111696139827314,-0.00019910997181945452,0.0002579970701688856,10,29
13,pass_freq:function(instsimplify),pass_freq,lite,function(instsimplify),function,,,0.010120719509767204,-0.00022999900912234404,5.4946145830831405e-05,19,30
15,pass_freq:function(newgvn),pass_freq,lite,function(newgvn),function,,,0.01760277163018176,-0.0004746483004566208,0.00018277208259597394,14,31
