selection_split,counterfactual_split,pass_name,mutation,status,error,original_objective,mutated_objective,delta_objective,original_mean_norm,mutated_mean_norm,delta_mean_norm,original_worsen_rate,mutated_worsen_rate,delta_worsen_rate,mutated_sequence
validation,selection,module(scc-oz-module-inliner),delete_first,ok,,0.7035676828262188,1.1873594947653343,0.48379181193911547,0.6900676828262189,1.0868594947653343,0.3967918119391154,0.09,0.67,0.5800000000000001,"[np.str_('module(iroutliner)'), np.str_('cgscc(attributor-cgscc)'), np.str_('module(elim-avail-extern)'), 'function(dse)', 'module(iroutliner)', 'module(iroutliner)', np.str_('cgscc(attributor-cgscc)'), 'function(newgvn)', 'module(attributor)', 'module(iroutliner)', 'function(jump-threading)', 'function(dse)', np.str_('function(gvn-sink)'), 'function(reassociate)', np.str_('module(iroutliner)'), np.str_('cgscc(attributor-cgscc)'), np.str_('module(iroutliner)'), np.str_('cgscc(attributor-cgscc)'), np.str_('module(globalopt)'), 'cgscc(attributor-cgscc)', 'function(reassociate)']"
validation,selection,module(scc-oz-module-inliner),duplicate_after_first,ok,,0.7035676828262188,0.6936394352071413,-0.009928247619077513,0.6900676828262189,0.6831394352071414,-0.00692824761907751,0.09,0.07,-0.01999999999999999,"[np.str_('module(iroutliner)'), np.str_('cgscc(attributor-cgscc)'), np.str_('module(elim-avail-extern)'), 'function(dse)', 'module(iroutliner)', 'module(iroutliner)', np.str_('cgscc(attributor-cgscc)'), 'function(newgvn)', 'module(attributor)', 'module(iroutliner)', 'function(jump-threading)', 'function(dse)', np.str_('function(gvn-sink)'), 'function(reassociate)', np.str_('module(iroutliner)'), np.str_('cgscc(attributor-cgscc)'), np.str_('module(scc-oz-module-inliner)'), 'module(scc-oz-module-inliner)', np.str_('module(iroutliner)'), np.str_('cgscc(attributor-cgscc)'), np.str_('module(globalopt)'), 'cgscc(attributor-cgscc)', 'function(reassociate)']"
validation,selection,module(scc-oz-module-inliner),append_once,ok,,0.7035676828262188,0.6843310160497079,-0.019236666776510924,0.6900676828262189,0.676831016049708,-0.01323666677651092,0.09,0.05,-0.039999999999999994,"[np.str_('module(iroutliner)'), np.str_('cgscc(attributor-cgscc)'), np.str_('module(elim-avail-extern)'), 'function(dse)', 'module(iroutliner)', 'module(iroutliner)', np.str_('cgscc(attributor-cgscc)'), 'function(newgvn)', 'module(attributor)', 'module(iroutliner)', 'function(jump-threading)', 'function(dse)', np.str_('function(gvn-sink)'), 'function(reassociate)', np.str_('module(iroutliner)'), np.str_('cgscc(attributor-cgscc)'), np.str_('module(scc-oz-module-inliner)'), np.str_('module(iroutliner)'), np.str_('cgscc(attributor-cgscc)'), np.str_('module(globalopt)'), 'cgscc(attributor-cgscc)', 'function(reassociate)', 'module(scc-oz-module-inliner)']"
validation,selection,module(elim-avail-extern),delete_first,ok,,0.7035676828262188,0.8952917703638087,0.19172408753758985,0.6900676828262189,0.8472917703638086,0.15722408753758976,0.09,0.32,0.23,"[np.str_('module(iroutliner)'), np.str_('cgscc(attributor-cgscc)'), 'function(dse)', 'module(iroutliner)', 'module(iroutliner)', np.str_('cgscc(attributor-cgscc)'), 'function(newgvn)', 'module(attributor)', 'module(iroutliner)', 'function(jump-threading)', 'function(dse)', np.str_('function(gvn-sink)'), 'function(reassociate)', np.str_('module(iroutliner)'), np.str_('cgscc(attributor-cgscc)'), np.str_('module(scc-oz-module-inliner)'), np.str_('module(iroutliner)'), np.str_('cgscc(attributor-cgscc)'), np.str_('module(globalopt)'), 'cgscc(attributor-cgscc)', 'function(reassociate)']"
validation,selection,module(elim-avail-extern),duplicate_after_first,ok,,0.7035676828262188,0.7035676828262188,0.0,0.6900676828262189,0.6900676828262189,0.0,0.09,0.09,0.0,"[np.str_('module(iroutliner)'), np.str_('cgscc(attributor-cgscc)'), np.str_('module(elim-avail-extern)'), 'module(elim-avail-extern)', 'function(dse)', 'module(iroutliner)', 'module(iroutliner)', np.str_('cgscc(attributor-cgscc)'), 'function(newgvn)', 'module(attributor)', 'module(iroutliner)', 'function(jump-threading)', 'function(dse)', np.str_('function(gvn-sink)'), 'function(reassociate)', np.str_('module(iroutliner)'), np.str_('cgscc(attributor-cgscc)'), np.str_('module(scc-oz-module-inliner)'), np.str_('module(iroutliner)'), np.str_('cgscc(attributor-cgscc)'), np.str_('module(globalopt)'), 'cgscc(attributor-cgscc)', 'function(reassociate)']"
validation,selection,module(elim-avail-extern),append_once,ok,,0.7035676828262188,0.7035676828262188,0.0,0.6900676828262189,0.6900676828262189,0.0,0.09,0.09,0.0,"[np.str_('module(iroutliner)'), np.str_('cgscc(attributor-cgscc)'), np.str_('module(elim-avail-extern)'), 'function(dse)', 'module(iroutliner)', 'module(iroutliner)', np.str_('cgscc(attributor-cgscc)'), 'function(newgvn)', 'module(attributor)', 'module(iroutliner)', 'function(jump-threading)', 'function(dse)', np.str_('function(gvn-sink)'), 'function(reassociate)', np.str_('module(iroutliner)'), np.str_('cgscc(attributor-cgscc)'), np.str_('module(scc-oz-module-inliner)'), np.str_('module(iroutliner)'), np.str_('cgscc(attributor-cgscc)'), np.str_('module(globalopt)'), 'cgscc(attributor-cgscc)', 'function(reassociate)', 'module(elim-avail-extern)']"
validation,selection,module(globalopt),delete_first,ok,,0.7035676828262188,0.8548335283413133,0.15126584551509448,0.6900676828262189,0.8068335283413133,0.11676584551509439,0.09,0.32,0.23,"[np.str_('module(iroutliner)'), np.str_('cgscc(attributor-cgscc)'), np.str_('module(elim-avail-extern)'), 'function(dse)', 'module(iroutliner)', 'module(iroutliner)', np.str_('cgscc(attributor-cgscc)'), 'function(newgvn)', 'module(attributor)', 'module(iroutliner)', 'function(jump-threading)', 'function(dse)', np.str_('function(gvn-sink)'), 'function(reassociate)', np.str_('module(iroutliner)'), np.str_('cgscc(attributor-cgscc)'), np.str_('module(scc-oz-module-inliner)'), np.str_('module(iroutliner)'), np.str_('cgscc(attributor-cgscc)'), 'cgscc(attributor-cgscc)', 'function(reassociate)']"
validation,selection,module(globalopt),duplicate_after_first,ok,,0.7035676828262188,0.7035676828262188,0.0,0.6900676828262189,0.6900676828262189,0.0,0.09,0.09,0.0,"[np.str_('module(iroutliner)'), np.str_('cgscc(attributor-cgscc)'), np.str_('module(elim-avail-extern)'), 'function(dse)', 'module(iroutliner)', 'module(iroutliner)', np.str_('cgscc(attributor-cgscc)'), 'function(newgvn)', 'module(attributor)', 'module(iroutliner)', 'function(jump-threading)', 'function(dse)', np.str_('function(gvn-sink)'), 'function(reassociate)', np.str_('module(iroutliner)'), np.str_('cgscc(attributor-cgscc)'), np.str_('module(scc-oz-module-inliner)'), np.str_('module(iroutliner)'), np.str_('cgscc(attributor-cgscc)'), np.str_('module(globalopt)'), 'module(globalopt)', 'cgscc(attributor-cgscc)', 'function(reassociate)']"
validation,selection,module(globalopt),append_once,ok,,0.7035676828262188,0.7035676828262188,0.0,0.6900676828262189,0.6900676828262189,0.0,0.09,0.09,0.0,"[np.str_('module(iroutliner)'), np.str_('cgscc(attributor-cgscc)'), np.str_('module(elim-avail-extern)'), 'function(dse)', 'module(iroutliner)', 'module(iroutliner)', np.str_('cgscc(attributor-cgscc)'), 'function(newgvn)', 'module(attributor)', 'module(iroutliner)', 'function(jump-threading)', 'function(dse)', np.str_('function(gvn-sink)'), 'function(reassociate)', np.str_('module(iroutliner)'), np.str_('cgscc(attributor-cgscc)'), np.str_('module(scc-oz-module-inliner)'), np.str_('module(iroutliner)'), np.str_('cgscc(attributor-cgscc)'), np.str_('module(globalopt)'), 'cgscc(attributor-cgscc)', 'function(reassociate)', 'module(globalopt)']"
validation,selection,function(gvn-sink),delete_first,ok,,0.7035676828262188,0.7077281781767845,0.004160495350565618,0.6900676828262189,0.6927281781767844,0.0026604953505655615,0.09,0.1,0.010000000000000009,"[np.str_('module(iroutliner)'), np.str_('cgscc(attributor-cgscc)'), np.str_('module(elim-avail-extern)'), 'function(dse)', 'module(iroutliner)', 'module(iroutliner)', np.str_('cgscc(attributor-cgscc)'), 'function(newgvn)', 'module(attributor)', 'module(iroutliner)', 'function(jump-threading)', 'function(dse)', 'function(reassociate)', np.str_('module(iroutliner)'), np.str_('cgscc(attributor-cgscc)'), np.str_('module(scc-oz-module-inliner)'), np.str_('module(iroutliner)'), np.str_('cgscc(attributor-cgscc)'), np.str_('module(globalopt)'), 'cgscc(attributor-cgscc)', 'function(reassociate)']"
