run_id,name,group,description,changed,runner_kind,batch_id,batch_index,batch_size,experiment_seed,split_seed,objective_kind,objective_baseline,backend_opt_level,loop_nesting_policy,feature_mode,started_at,finished_at,wall_runtime_s,exit_code,selection_split,selection_objective,search_train_count,validation_count,test_count,search_train_signature,validation_signature,test_signature,search_train_obj,search_train_mean,search_train_worsen_rate,validation_obj,validation_mean,validation_worsen_rate,test_obj,test_mean,test_worsen_rate,final_length_effective,final_length_raw,iter_count,log_path,manifest_path,final_pipeline_effective
20260423_221353_240005_feature_lite_seed463,feature_lite,feature_ablation,切换到 Lite 特征编码，保留其余搜索流程不变。,"EXPERIMENT_SEED=463, FEATURE_MODE=lite, GA_GEN=5, GA_POP=200, ITERS=100, MAX_SEQ_LEN=120, MIN_VAL_PROGRAMS=5, SEED_TOPK=0, SPLIT_SEED=463, TEST_TOPK=50, TRAIN_TOPK=200, VAL_RATIO=0.5",multi_seed,20260423_181846_348878_feature_lite_multiseed_instrcount_lite_wrap_10seeds,8,10,463,463,instrcount,oz,-O0,wrap,lite,2026-04-23T22:13:53,2026-04-23T23:04:44,3051.244065,0,validation,0.671048338384954,100,100,50,ce1f059f4ce8ae090f50679faa07154062507576,4aa9b18f01b4e1ee86beb0fefb18b376ef7f2d8e,2b1e084b2a12f6391543750f17f04b451598fbce,0.6966682162936382,0.6906682162936382,0.04,0.671048338384954,0.6635483383849541,0.05,0.7131751685679732,0.7101751685679732,0.02,22,22,100,/root/exp/RFunipassLab/results/logs/20260423_221353_240005_feature_lite_seed463.log,/root/exp/RFunipassLab/results/manifests/20260423_221353_240005_feature_lite_seed463.json,"module(elim-avail-extern),module(iroutliner),function(gvn-hoist),function(gvn-sink),module(iroutliner),cgscc(attributor-cgscc),function(dse),function(loop(loop-simplifycfg)),function(newgvn),module(attributor),cgscc(attributor-cgscc),function(newgvn),function(gvn-hoist),cgscc(attributor-cgscc),function(reassociate),module(scc-oz-module-inliner),module(iroutliner),function(gvn-hoist),module(attributor),function(instsimplify),module(globalopt),function(dse)"
20260423_205014_703926_feature_lite_seed460,feature_lite,feature_ablation,切换到 Lite 特征编码，保留其余搜索流程不变。,"EXPERIMENT_SEED=460, FEATURE_MODE=lite, GA_GEN=5, GA_POP=200, ITERS=100, MAX_SEQ_LEN=120, MIN_VAL_PROGRAMS=5, SEED_TOPK=0, SPLIT_SEED=460, TEST_TOPK=50, TRAIN_TOPK=200, VAL_RATIO=0.5",multi_seed,20260423_181846_348878_feature_lite_multiseed_instrcount_lite_wrap_10seeds,5,10,460,460,instrcount,oz,-O0,wrap,lite,2026-04-23T20:50:14,2026-04-23T21:16:28,1573.826253,0,validation,0.7295429474280276,100,100,50,0bf75313023fcd96df23526ac6add04788b5e92c,b982062f90419fc2260c12e6732e3483464dd095,338de2e9059a195def93ad25199831a1b4a18c04,0.7274780480875616,0.7139780480875616,0.09,0.7295429474280276,0.7235429474280276,0.04,0.7257104433807446,0.7167104433807446,0.06,15,15,100,/root/exp/RFunipassLab/results/logs/20260423_205014_703926_feature_lite_seed460.log,/root/exp/RFunipassLab/results/manifests/20260423_205014_703926_feature_lite_seed460.json,"module(elim-avail-extern),module(globalopt),module(attributor),module(iroutliner),function(dse),cgscc(attributor-cgscc),module(attributor),function(mem2reg),function(gvn-sink),module(attributor),module(scc-oz-module-inliner),module(iroutliner),module(attributor),function(gvn-sink),module(scc-oz-module-inliner)"
20260423_211628_575222_feature_lite_seed461,feature_lite,feature_ablation,切换到 Lite 特征编码，保留其余搜索流程不变。,"EXPERIMENT_SEED=461, FEATURE_MODE=lite, GA_GEN=5, GA_POP=200, ITERS=100, MAX_SEQ_LEN=120, MIN_VAL_PROGRAMS=5, SEED_TOPK=0, SPLIT_SEED=461, TEST_TOPK=50, TRAIN_TOPK=200, VAL_RATIO=0.5",multi_seed,20260423_181846_348878_feature_lite_multiseed_instrcount_lite_wrap_10seeds,6,10,461,461,instrcount,oz,-O0,wrap,lite,2026-04-23T21:16:28,2026-04-23T21:41:13,1484.73671,0,validation,0.7352891000176824,100,100,50,a8f2844f2a1d8a5e88a3c6e40c99dbb680248ff2,6952f6c8be35c08337721ac2810694f21803acdc,400177199df026e980bc9db57dd9377c17b6c182,0.7123402526548392,0.6988402526548393,0.09,0.7352891000176824,0.7292891000176824,0.04,0.8807823370743392,0.8597823370743392,0.14,18,18,100,/root/exp/RFunipassLab/results/logs/20260423_211628_575222_feature_lite_seed461.log,/root/exp/RFunipassLab/results/manifests/20260423_211628_575222_feature_lite_seed461.json,"module(elim-avail-extern),module(globalopt),module(inferattrs),function(gvn-sink),module(attributor),module(iroutliner),function(jump-threading),module(attributor),module(iroutliner),function(dse),cgscc(attributor-cgscc),module(attributor),module(scc-oz-module-inliner),function(gvn-sink),module(attributor),module(scc-oz-module-inliner),function(gvn-hoist),module(scc-oz-module-inliner)"
20260423_193326_468019_feature_lite_seed458,feature_lite,feature_ablation,切换到 Lite 特征编码，保留其余搜索流程不变。,"EXPERIMENT_SEED=458, FEATURE_MODE=lite, GA_GEN=5, GA_POP=200, ITERS=100, MAX_SEQ_LEN=120, MIN_VAL_PROGRAMS=5, SEED_TOPK=0, SPLIT_SEED=458, TEST_TOPK=50, TRAIN_TOPK=200, VAL_RATIO=0.5",multi_seed,20260423_181846_348878_feature_lite_multiseed_instrcount_lite_wrap_10seeds,3,10,458,458,instrcount,oz,-O0,wrap,lite,2026-04-23T19:33:26,2026-04-23T20:34:02,3635.987266,0,validation,0.743221670685424,100,100,50,8c651010a3ff27fec9f7e5d5efa9cee41062e869,dd8f07df3ff69242e6dacb9d6936f2a026580e81,a482a9715f2cdbf9817e6c112cc95b7aa635e4fb,0.7315134237127371,0.7240134237127371,0.05,0.743221670685424,0.732721670685424,0.07,0.8222259570360293,0.7952259570360293,0.18,20,20,100,/root/exp/RFunipassLab/results/logs/20260423_193326_468019_feature_lite_seed458.log,/root/exp/RFunipassLab/results/manifests/20260423_193326_468019_feature_lite_seed458.json,"module(iroutliner),function(gvn-sink),module(attributor),cgscc(attributor-cgscc),module(iroutliner),function(jump-threading),module(attributor),module(elim-avail-extern),function(gvn-sink),module(iroutliner),module(attributor),function(dse),module(scc-oz-module-inliner),module(attributor),module(scc-oz-module-inliner),module(iroutliner),cgscc(attributor-cgscc),function(instsimplify),function(jump-threading),module(globalopt)"
20260423_214113_355045_feature_lite_seed462,feature_lite,feature_ablation,切换到 Lite 特征编码，保留其余搜索流程不变。,"EXPERIMENT_SEED=462, FEATURE_MODE=lite, GA_GEN=5, GA_POP=200, ITERS=100, MAX_SEQ_LEN=120, MIN_VAL_PROGRAMS=5, SEED_TOPK=0, SPLIT_SEED=462, TEST_TOPK=50, TRAIN_TOPK=200, VAL_RATIO=0.5",multi_seed,20260423_181846_348878_feature_lite_multiseed_instrcount_lite_wrap_10seeds,7,10,462,462,instrcount,oz,-O0,wrap,lite,2026-04-23T21:41:13,2026-04-23T22:13:53,1959.840338,0,validation,0.7448130524571981,100,100,50,ae3bfaebb38de12769bcdffc1e7776e2cbbb2b79,b051ac5a9815c85908c9df8d8bbbf5b8e673eb4f,72c84011c3bf8c824f4e63bbd1eabede384b4b61,0.6932075145391122,0.6902075145391122,0.02,0.7448130524571981,0.7358130524571981,0.06,0.7195308234020034,0.7105308234020034,0.06,14,14,100,/root/exp/RFunipassLab/results/logs/20260423_214113_355045_feature_lite_seed462.log,/root/exp/RFunipassLab/results/manifests/20260423_214113_355045_feature_lite_seed462.json,"module(iroutliner),cgscc(attributor-cgscc),module(elim-avail-extern),module(globalopt),module(iroutliner),function(dse),module(attributor),module(scc-oz-module-inliner),module(attributor),module(scc-oz-module-inliner),module(iroutliner),module(scc-oz-module-inliner),module(iroutliner),function(gvn-sink)"
20260423_231957_016941_feature_lite_seed465,feature_lite,feature_ablation,切换到 Lite 特征编码，保留其余搜索流程不变。,"EXPERIMENT_SEED=465, FEATURE_MODE=lite, GA_GEN=5, GA_POP=200, ITERS=100, MAX_SEQ_LEN=120, MIN_VAL_PROGRAMS=5, SEED_TOPK=0, SPLIT_SEED=465, TEST_TOPK=50, TRAIN_TOPK=200, VAL_RATIO=0.5",multi_seed,20260423_181846_348878_feature_lite_multiseed_instrcount_lite_wrap_10seeds,10,10,465,465,instrcount,oz,-O0,wrap,lite,2026-04-23T23:19:57,2026-04-23T23:42:33,1356.551066,0,validation,0.7642383255595543,100,100,50,84142c2b2a4ae4e0bd2ea1431e35dc7128a50d49,618eab5c5fbee858a4b5915465dee8cc27158974,8ed784ebd852bb1cb8ac3a89e7489a3cba433b9d,0.7857844573962164,0.7767844573962164,0.06,0.7642383255595543,0.7507383255595543,0.09,0.7486617390981991,0.7456617390981991,0.02,14,14,100,/root/exp/RFunipassLab/results/logs/20260423_231957_016941_feature_lite_seed465.log,/root/exp/RFunipassLab/results/manifests/20260423_231957_016941_feature_lite_seed465.json,"module(elim-avail-extern),module(globalopt),module(attributor),module(iroutliner),module(attributor),function(gvn-sink),function(dse),module(inferattrs),function(loop(loop-simplifycfg)),cgscc(attributor-cgscc),module(iroutliner),module(attributor),module(scc-oz-module-inliner),function(jump-threading)"
20260423_203402_518521_feature_lite_seed459,feature_lite,feature_ablation,切换到 Lite 特征编码，保留其余搜索流程不变。,"EXPERIMENT_SEED=459, FEATURE_MODE=lite, GA_GEN=5, GA_POP=200, ITERS=100, MAX_SEQ_LEN=120, MIN_VAL_PROGRAMS=5, SEED_TOPK=0, SPLIT_SEED=459, TEST_TOPK=50, TRAIN_TOPK=200, VAL_RATIO=0.5",multi_seed,20260423_181846_348878_feature_lite_multiseed_instrcount_lite_wrap_10seeds,4,10,459,459,instrcount,oz,-O0,wrap,lite,2026-04-23T20:34:02,2026-04-23T20:50:14,972.137432,0,validation,0.7846257352210958,100,100,50,9bfa7806797fc13bff39c6f2598003ad06065a2b,fd652be2c1e007b3d23a8507a30d5f35c3f4f066,fee1d5dd2b8758eb2485d1160eb91f40452e60a4,0.8780844169425925,0.8600844169425925,0.12,0.7846257352210958,0.7681257352210958,0.11,0.8470259887756421,0.829025988775642,0.12,11,11,100,/root/exp/RFunipassLab/results/logs/20260423_203402_518521_feature_lite_seed459.log,/root/exp/RFunipassLab/results/manifests/20260423_203402_518521_feature_lite_seed459.json,"module(elim-avail-extern),module(globalopt),module(attributor),module(iroutliner),function(jump-threading),function(dse),cgscc(attributor-cgscc),module(attributor),module(scc-oz-module-inliner),module(iroutliner),function(gvn-sink)"
20260423_230444_536999_feature_lite_seed464,feature_lite,feature_ablation,切换到 Lite 特征编码，保留其余搜索流程不变。,"EXPERIMENT_SEED=464, FEATURE_MODE=lite, GA_GEN=5, GA_POP=200, ITERS=100, MAX_SEQ_LEN=120, MIN_VAL_PROGRAMS=5, SEED_TOPK=0, SPLIT_SEED=464, TEST_TOPK=50, TRAIN_TOPK=200, VAL_RATIO=0.5",multi_seed,20260423_181846_348878_feature_lite_multiseed_instrcount_lite_wrap_10seeds,9,10,464,464,instrcount,oz,-O0,wrap,lite,2026-04-23T23:04:44,2026-04-23T23:19:56,912.437623,0,validation,0.7952243355633702,100,100,50,970d4c58a65e92989b470435b5282d47ed413f04,2cc8719b5a4c10f453ed23bdce5da6305b519000,36c96434fb9a7417c3a63fff5cc125c90ecf7387,0.8189371410095435,0.7949371410095435,0.16,0.7952243355633702,0.7772243355633702,0.12,0.8517865791940212,0.8367865791940212,0.1,8,8,100,/root/exp/RFunipassLab/results/logs/20260423_230444_536999_feature_lite_seed464.log,/root/exp/RFunipassLab/results/manifests/20260423_230444_536999_feature_lite_seed464.json,"module(elim-avail-extern),module(globalopt),module(iroutliner),module(attributor),module(scc-oz-module-inliner),module(scc-oz-module-inliner),function(newgvn),module(scc-oz-module-inliner)"
20260423_184811_146360_feature_lite_seed457,feature_lite,feature_ablation,切换到 Lite 特征编码，保留其余搜索流程不变。,"EXPERIMENT_SEED=457, FEATURE_MODE=lite, GA_GEN=5, GA_POP=200, ITERS=100, MAX_SEQ_LEN=120, MIN_VAL_PROGRAMS=5, SEED_TOPK=0, SPLIT_SEED=457, TEST_TOPK=50, TRAIN_TOPK=200, VAL_RATIO=0.5",multi_seed,20260423_181846_348878_feature_lite_multiseed_instrcount_lite_wrap_10seeds,2,10,457,457,instrcount,oz,-O0,wrap,lite,2026-04-23T18:48:11,2026-04-23T19:33:26,2715.269167,0,validation,0.8134079782915891,100,100,50,8cdb16291f35559effd96f7e4420b86a084ca961,0e8d483fbecaf170dc55da4f941b09188bbf9bf2,f68c78b484e63824ec49becfd7a5e2e2baf475d5,0.7780762906512038,0.7675762906512038,0.07,0.8134079782915891,0.7879079782915891,0.17,0.7517219417979357,0.7397219417979357,0.08,15,15,100,/root/exp/RFunipassLab/results/logs/20260423_184811_146360_feature_lite_seed457.log,/root/exp/RFunipassLab/results/manifests/20260423_184811_146360_feature_lite_seed457.json,"module(attributor),module(elim-avail-extern),module(iroutliner),function(gvn-hoist),module(attributor),function(gvn-hoist),module(iroutliner),function(jump-threading),module(globalopt),module(inferattrs),function(newgvn),module(attributor),module(iroutliner),module(scc-oz-module-inliner),module(attributor)"
20260423_181846_349217_feature_lite_seed456,feature_lite,feature_ablation,切换到 Lite 特征编码，保留其余搜索流程不变。,"EXPERIMENT_SEED=456, FEATURE_MODE=lite, GA_GEN=5, GA_POP=200, ITERS=100, MAX_SEQ_LEN=120, MIN_VAL_PROGRAMS=5, SEED_TOPK=0, SPLIT_SEED=456, TEST_TOPK=50, TRAIN_TOPK=200, VAL_RATIO=0.5",multi_seed,20260423_181846_348878_feature_lite_multiseed_instrcount_lite_wrap_10seeds,1,10,456,456,instrcount,oz,-O0,wrap,lite,2026-04-23T18:18:46,2026-04-23T18:48:11,1764.742169,0,validation,0.830036398220476,100,100,50,3ad90166bf9bd1af93680f15067615fd4f341481,bd5a000b3f740ace9576f4dfa0d99ceaf5cd6247,42411d4d4c9d084430c688042fea453b6b352eea,0.8100467001265089,0.7950467001265089,0.1,0.830036398220476,0.8135363982204761,0.11,0.8169761270189971,0.7929761270189971,0.16,11,11,100,/root/exp/RFunipassLab/results/logs/20260423_181846_349217_feature_lite_seed456.log,/root/exp/RFunipassLab/results/manifests/20260423_181846_349217_feature_lite_seed456.json,"module(elim-avail-extern),module(iroutliner),module(attributor),module(globalopt),function(gvn-sink),function(newgvn),function(gvn-sink),module(attributor),module(scc-oz-module-inliner),module(attributor),function(dce)"
