run_id,name,group,description,changed,runner_kind,batch_id,batch_index,batch_size,experiment_seed,split_seed,objective_kind,objective_baseline,backend_opt_level,loop_nesting_policy,feature_mode,started_at,finished_at,wall_runtime_s,exit_code,selection_split,selection_objective,search_train_count,validation_count,test_count,search_train_signature,validation_signature,test_signature,search_train_obj,search_train_mean,search_train_worsen_rate,validation_obj,validation_mean,validation_worsen_rate,test_obj,test_mean,test_worsen_rate,final_length_effective,final_length_raw,iter_count,log_path,manifest_path,final_pipeline_effective
20260505_072024_540076_feature_lite_seed464,feature_lite,feature_ablation,切换到 Lite 特征编码，保留其余搜索流程不变。,"EXPERIMENT_SEED=464, FEATURE_MODE=lite, GA_GEN=5, GA_POP=200, ITERS=100, MAX_SEQ_LEN=120, MIN_VAL_PROGRAMS=5, SEED_TOPK=0, SPLIT_SEED=464, TEST_TOPK=50, TRAIN_TOPK=200, VAL_RATIO=0.5",multi_seed,20260505_021422_538199_feature_lite_multiseed_rf_explain_formal_10seeds_20260505_021421,9,10,464,464,instrcount,oz,-O0,wrap,lite,2026-05-05T07:20:24,2026-05-05T07:41:10,1246.296926,0,validation,0.6683476442560772,100,100,50,970d4c58a65e92989b470435b5282d47ed413f04,2cc8719b5a4c10f453ed23bdce5da6305b519000,36c96434fb9a7417c3a63fff5cc125c90ecf7387,0.7162537252601121,0.6997537252601121,0.11,0.6683476442560772,0.6563476442560772,0.08,0.7818507990944644,0.7668507990944644,0.1,18,18,100,/root/exp/RFunipassLab/results/logs/20260505_072024_540076_feature_lite_seed464.log,/root/exp/RFunipassLab/results/manifests/20260505_072024_540076_feature_lite_seed464.json,"module(globalopt),module(attributor),module(iroutliner),module(iroutliner),function(dse),cgscc(attributor-cgscc),function(newgvn),module(iroutliner),module(elim-avail-extern),module(attributor),module(scc-oz-module-inliner),module(scc-oz-module-inliner),function(gvn-sink),function(newgvn),module(globalopt),cgscc(attributor-cgscc),module(iroutliner),module(scc-oz-module-inliner)"
20260505_060712_941720_feature_lite_seed462,feature_lite,feature_ablation,切换到 Lite 特征编码，保留其余搜索流程不变。,"EXPERIMENT_SEED=462, FEATURE_MODE=lite, GA_GEN=5, GA_POP=200, ITERS=100, MAX_SEQ_LEN=120, MIN_VAL_PROGRAMS=5, SEED_TOPK=0, SPLIT_SEED=462, TEST_TOPK=50, TRAIN_TOPK=200, VAL_RATIO=0.5",multi_seed,20260505_021422_538199_feature_lite_multiseed_rf_explain_formal_10seeds_20260505_021421,7,10,462,462,instrcount,oz,-O0,wrap,lite,2026-05-05T06:07:12,2026-05-05T06:59:52,3159.377995,0,validation,0.7035676828262188,100,100,50,ae3bfaebb38de12769bcdffc1e7776e2cbbb2b79,b051ac5a9815c85908c9df8d8bbbf5b8e673eb4f,72c84011c3bf8c824f4e63bbd1eabede384b4b61,0.6634253184090952,0.6559253184090953,0.05,0.7035676828262188,0.6900676828262189,0.09,0.6847166757308362,0.6727166757308362,0.08,22,22,100,/root/exp/RFunipassLab/results/logs/20260505_060712_941720_feature_lite_seed462.log,/root/exp/RFunipassLab/results/manifests/20260505_060712_941720_feature_lite_seed462.json,"module(iroutliner),cgscc(attributor-cgscc),module(elim-avail-extern),function(dse),module(iroutliner),module(iroutliner),cgscc(attributor-cgscc),function(newgvn),module(attributor),module(iroutliner),function(jump-threading),function(dse),function(gvn-sink),function(reassociate),module(iroutliner),cgscc(attributor-cgscc),module(scc-oz-module-inliner),module(iroutliner),cgscc(attributor-cgscc),module(globalopt),cgscc(attributor-cgscc),function(reassociate)"
20260505_041238_090656_feature_lite_seed458,feature_lite,feature_ablation,切换到 Lite 特征编码，保留其余搜索流程不变。,"EXPERIMENT_SEED=458, FEATURE_MODE=lite, GA_GEN=5, GA_POP=200, ITERS=100, MAX_SEQ_LEN=120, MIN_VAL_PROGRAMS=5, SEED_TOPK=0, SPLIT_SEED=458, TEST_TOPK=50, TRAIN_TOPK=200, VAL_RATIO=0.5",multi_seed,20260505_021422_538199_feature_lite_multiseed_rf_explain_formal_10seeds_20260505_021421,3,10,458,458,instrcount,oz,-O0,wrap,lite,2026-05-05T04:12:38,2026-05-05T04:58:16,2738.338509,0,validation,0.704801412439076,100,100,50,8c651010a3ff27fec9f7e5d5efa9cee41062e869,dd8f07df3ff69242e6dacb9d6936f2a026580e81,a482a9715f2cdbf9817e6c112cc95b7aa635e4fb,0.7043704446553313,0.6983704446553313,0.04,0.704801412439076,0.695801412439076,0.06,0.8122483760812562,0.7852483760812562,0.18,18,18,100,/root/exp/RFunipassLab/results/logs/20260505_041238_090656_feature_lite_seed458.log,/root/exp/RFunipassLab/results/manifests/20260505_041238_090656_feature_lite_seed458.json,"module(elim-avail-extern),module(attributor),module(iroutliner),function(dse),function(newgvn),module(iroutliner),module(globalopt),function(gvn-sink),module(attributor),module(scc-oz-module-inliner),module(iroutliner),module(attributor),module(scc-oz-module-inliner),module(scc-oz-module-inliner),module(attributor),module(scc-oz-module-inliner),function(newgvn),module(scc-oz-module-inliner)"
20260505_065952_368025_feature_lite_seed463,feature_lite,feature_ablation,切换到 Lite 特征编码，保留其余搜索流程不变。,"EXPERIMENT_SEED=463, FEATURE_MODE=lite, GA_GEN=5, GA_POP=200, ITERS=100, MAX_SEQ_LEN=120, MIN_VAL_PROGRAMS=5, SEED_TOPK=0, SPLIT_SEED=463, TEST_TOPK=50, TRAIN_TOPK=200, VAL_RATIO=0.5",multi_seed,20260505_021422_538199_feature_lite_multiseed_rf_explain_formal_10seeds_20260505_021421,8,10,463,463,instrcount,oz,-O0,wrap,lite,2026-05-05T06:59:52,2026-05-05T07:20:24,1232.130025,0,validation,0.7096418438436655,100,100,50,ce1f059f4ce8ae090f50679faa07154062507576,4aa9b18f01b4e1ee86beb0fefb18b376ef7f2d8e,2b1e084b2a12f6391543750f17f04b451598fbce,0.7183001431007808,0.7108001431007809,0.05,0.7096418438436655,0.7021418438436655,0.05,0.7523475412363821,0.7463475412363821,0.04,17,17,100,/root/exp/RFunipassLab/results/logs/20260505_065952_368025_feature_lite_seed463.log,/root/exp/RFunipassLab/results/manifests/20260505_065952_368025_feature_lite_seed463.json,"module(elim-avail-extern),module(globalopt),module(iroutliner),function(gvn-hoist),function(instsimplify),function(dse),module(attributor),function(dse),function(gvn-sink),module(iroutliner),module(attributor),module(scc-oz-module-inliner),function(gvn-hoist),function(gvn-sink),module(iroutliner),module(attributor),module(scc-oz-module-inliner)"
20260505_045816_489909_feature_lite_seed459,feature_lite,feature_ablation,切换到 Lite 特征编码，保留其余搜索流程不变。,"EXPERIMENT_SEED=459, FEATURE_MODE=lite, GA_GEN=5, GA_POP=200, ITERS=100, MAX_SEQ_LEN=120, MIN_VAL_PROGRAMS=5, SEED_TOPK=0, SPLIT_SEED=459, TEST_TOPK=50, TRAIN_TOPK=200, VAL_RATIO=0.5",multi_seed,20260505_021422_538199_feature_lite_multiseed_rf_explain_formal_10seeds_20260505_021421,4,10,459,459,instrcount,oz,-O0,wrap,lite,2026-05-05T04:58:16,2026-05-05T05:16:15,1079.017322,0,validation,0.7349201026281709,100,100,50,9bfa7806797fc13bff39c6f2598003ad06065a2b,fd652be2c1e007b3d23a8507a30d5f35c3f4f066,fee1d5dd2b8758eb2485d1160eb91f40452e60a4,0.8201928232991993,0.8066928232991993,0.09,0.7349201026281709,0.7214201026281709,0.09,0.8332547107464213,0.8152547107464213,0.12,11,11,100,/root/exp/RFunipassLab/results/logs/20260505_045816_489909_feature_lite_seed459.log,/root/exp/RFunipassLab/results/manifests/20260505_045816_489909_feature_lite_seed459.json,"module(elim-avail-extern),module(iroutliner),module(attributor),function(jump-threading),module(globalopt),function(gvn-sink),function(newgvn),module(attributor),function(dse),module(attributor),module(scc-oz-module-inliner)"
20260505_051615_556780_feature_lite_seed460,feature_lite,feature_ablation,切换到 Lite 特征编码，保留其余搜索流程不变。,"EXPERIMENT_SEED=460, FEATURE_MODE=lite, GA_GEN=5, GA_POP=200, ITERS=100, MAX_SEQ_LEN=120, MIN_VAL_PROGRAMS=5, SEED_TOPK=0, SPLIT_SEED=460, TEST_TOPK=50, TRAIN_TOPK=200, VAL_RATIO=0.5",multi_seed,20260505_021422_538199_feature_lite_multiseed_rf_explain_formal_10seeds_20260505_021421,5,10,460,460,instrcount,oz,-O0,wrap,lite,2026-05-05T05:16:15,2026-05-05T05:46:27,1812.410864,0,validation,0.7418239796089717,100,100,50,0bf75313023fcd96df23526ac6add04788b5e92c,b982062f90419fc2260c12e6732e3483464dd095,338de2e9059a195def93ad25199831a1b4a18c04,0.7346301464970381,0.725630146497038,0.06,0.7418239796089717,0.7343239796089718,0.05,0.732992086072486,0.723992086072486,0.06,16,16,100,/root/exp/RFunipassLab/results/logs/20260505_051615_556780_feature_lite_seed460.log,/root/exp/RFunipassLab/results/manifests/20260505_051615_556780_feature_lite_seed460.json,"module(elim-avail-extern),module(globalopt),module(attributor),module(iroutliner),function(jump-threading),function(dse),cgscc(attributor-cgscc),module(attributor),module(iroutliner),function(gvn-sink),module(attributor),module(scc-oz-module-inliner),function(newgvn),module(inferattrs),cgscc(attributor-cgscc),module(scc-oz-module-inliner)"
20260505_074110_879129_feature_lite_seed465,feature_lite,feature_ablation,切换到 Lite 特征编码，保留其余搜索流程不变。,"EXPERIMENT_SEED=465, FEATURE_MODE=lite, GA_GEN=5, GA_POP=200, ITERS=100, MAX_SEQ_LEN=120, MIN_VAL_PROGRAMS=5, SEED_TOPK=0, SPLIT_SEED=465, TEST_TOPK=50, TRAIN_TOPK=200, VAL_RATIO=0.5",multi_seed,20260505_021422_538199_feature_lite_multiseed_rf_explain_formal_10seeds_20260505_021421,10,10,465,465,instrcount,oz,-O0,wrap,lite,2026-05-05T07:41:10,2026-05-05T08:04:49,1418.821485,0,validation,0.7589982001218443,100,100,50,84142c2b2a4ae4e0bd2ea1431e35dc7128a50d49,618eab5c5fbee858a4b5915465dee8cc27158974,8ed784ebd852bb1cb8ac3a89e7489a3cba433b9d,0.7950222315335753,0.7845222315335754,0.07,0.7589982001218443,0.7454982001218443,0.09,0.755146084467023,0.752146084467023,0.02,9,9,100,/root/exp/RFunipassLab/results/logs/20260505_074110_879129_feature_lite_seed465.log,/root/exp/RFunipassLab/results/manifests/20260505_074110_879129_feature_lite_seed465.json,"module(elim-avail-extern),module(globalopt),module(attributor),module(iroutliner),function(dse),module(inferattrs),function(mem2reg),module(attributor),module(scc-oz-module-inliner)"
20260505_021422_538513_feature_lite_seed456,feature_lite,feature_ablation,切换到 Lite 特征编码，保留其余搜索流程不变。,"EXPERIMENT_SEED=456, FEATURE_MODE=lite, GA_GEN=5, GA_POP=200, ITERS=100, MAX_SEQ_LEN=120, MIN_VAL_PROGRAMS=5, SEED_TOPK=0, SPLIT_SEED=456, TEST_TOPK=50, TRAIN_TOPK=200, VAL_RATIO=0.5",multi_seed,20260505_021422_538199_feature_lite_multiseed_rf_explain_formal_10seeds_20260505_021421,1,10,456,456,instrcount,oz,-O0,wrap,lite,2026-05-05T02:14:22,2026-05-05T03:00:42,2779.77949,0,validation,0.7677389075310889,100,100,50,3ad90166bf9bd1af93680f15067615fd4f341481,bd5a000b3f740ace9576f4dfa0d99ceaf5cd6247,42411d4d4c9d084430c688042fea453b6b352eea,0.7644315756713216,0.7524315756713216,0.08,0.7677389075310889,0.7542389075310889,0.09,0.7693366431157349,0.7453366431157349,0.16,15,15,100,/root/exp/RFunipassLab/results/logs/20260505_021422_538513_feature_lite_seed456.log,/root/exp/RFunipassLab/results/manifests/20260505_021422_538513_feature_lite_seed456.json,"module(attributor),module(elim-avail-extern),module(iroutliner),function(dse),function(gvn-sink),module(attributor),function(gvn-hoist),function(newgvn),module(attributor),module(attributor),module(globalopt),module(scc-oz-module-inliner),module(attributor),module(attributor),module(scc-oz-module-inliner)"
20260505_054628_012709_feature_lite_seed461,feature_lite,feature_ablation,切换到 Lite 特征编码，保留其余搜索流程不变。,"EXPERIMENT_SEED=461, FEATURE_MODE=lite, GA_GEN=5, GA_POP=200, ITERS=100, MAX_SEQ_LEN=120, MIN_VAL_PROGRAMS=5, SEED_TOPK=0, SPLIT_SEED=461, TEST_TOPK=50, TRAIN_TOPK=200, VAL_RATIO=0.5",multi_seed,20260505_021422_538199_feature_lite_multiseed_rf_explain_formal_10seeds_20260505_021421,6,10,461,461,instrcount,oz,-O0,wrap,lite,2026-05-05T05:46:28,2026-05-05T06:07:12,1244.8865,0,validation,0.77156280574205,100,100,50,a8f2844f2a1d8a5e88a3c6e40c99dbb680248ff2,6952f6c8be35c08337721ac2810694f21803acdc,400177199df026e980bc9db57dd9377c17b6c182,0.7632771261241293,0.7512771261241293,0.08,0.77156280574205,0.7640628057420501,0.05,0.8652543515587978,0.8472543515587978,0.12,11,11,100,/root/exp/RFunipassLab/results/logs/20260505_054628_012709_feature_lite_seed461.log,/root/exp/RFunipassLab/results/manifests/20260505_054628_012709_feature_lite_seed461.json,"module(elim-avail-extern),module(globalopt),module(iroutliner),module(attributor),module(scc-oz-module-inliner),module(attributor),function(newgvn),module(inferattrs),module(scc-oz-module-inliner),module(attributor),module(scc-oz-module-inliner)"
20260505_030042_375448_feature_lite_seed457,feature_lite,feature_ablation,切换到 Lite 特征编码，保留其余搜索流程不变。,"EXPERIMENT_SEED=457, FEATURE_MODE=lite, GA_GEN=5, GA_POP=200, ITERS=100, MAX_SEQ_LEN=120, MIN_VAL_PROGRAMS=5, SEED_TOPK=0, SPLIT_SEED=457, TEST_TOPK=50, TRAIN_TOPK=200, VAL_RATIO=0.5",multi_seed,20260505_021422_538199_feature_lite_multiseed_rf_explain_formal_10seeds_20260505_021421,2,10,457,457,instrcount,oz,-O0,wrap,lite,2026-05-05T03:00:42,2026-05-05T04:12:38,4315.649232,0,validation,0.7902841345318173,100,100,50,8cdb16291f35559effd96f7e4420b86a084ca961,0e8d483fbecaf170dc55da4f941b09188bbf9bf2,f68c78b484e63824ec49becfd7a5e2e2baf475d5,0.8160115300751398,0.8010115300751398,0.1,0.7902841345318173,0.7662841345318173,0.16,0.7944916038091927,0.7794916038091927,0.1,15,15,100,/root/exp/RFunipassLab/results/logs/20260505_030042_375448_feature_lite_seed457.log,/root/exp/RFunipassLab/results/manifests/20260505_030042_375448_feature_lite_seed457.json,"module(elim-avail-extern),module(globalopt),function(gvn-sink),module(iroutliner),module(attributor),module(iroutliner),function(gvn-hoist),module(attributor),function(jump-threading),function(gvn-hoist),module(iroutliner),module(inferattrs),function(dse),module(attributor),module(scc-oz-module-inliner)"
