pass_name,mutation,seed_count,sample_count,original_objective_mean,mutated_objective_mean,delta_objective_mean,delta_objective_ci95_half_width,delta_objective_ci95_low,delta_objective_ci95_high,delta_objective_median,delta_objective_min,delta_objective_max,delta_mean_norm_mean,delta_worsen_rate_mean
module(scc-oz-module-inliner),delete_all,6,6,0.7273194322368215,1.4545381420080348,0.7272187097712133,0.18308532455085938,0.5441333852203539,0.9103040343220726,0.6602987775047253,0.6165034522214378,1.0701137324431604,0.6149687097712132,0.7483333333333333
module(scc-oz-module-inliner),delete_first,10,10,0.7351686713528981,1.0305520100760595,0.2953833387231614,0.2769718299170839,0.018411508806077503,0.5723551686402453,0.045588480536892184,0.001308161334158675,1.1020536655093007,0.2545833387231614,0.272
module(elim-avail-extern),delete_first,10,10,0.7351686713528981,1.002322873352782,0.26715420199988404,0.03134404845179797,0.23581015354808607,0.298498250451682,0.2787972667317981,0.19172408753758985,0.32122587621362597,0.22170420199988397,0.303
module(globalopt),delete_all,1,1,0.6683476442560772,0.8152409690614514,0.1468933248053742,0.0,0.1468933248053742,0.1468933248053742,0.1468933248053742,0.1468933248053742,0.1468933248053742,0.11839332480537423,0.19
module(globalopt),delete_first,7,7,0.7264340515451482,0.8654058229445851,0.138971771399437,0.056713649228634616,0.08225812217080239,0.19568542062807162,0.15764741278833705,0.0033333333333334103,0.18047081706480606,0.11111462854229408,0.18571428571428572
module(attributor),delete_all,1,1,0.7418239796089717,0.8581152283489097,0.11629124873993801,0.0,0.11629124873993801,0.11629124873993801,0.11629124873993801,0.11629124873993801,0.11629124873993801,0.11479124873993796,0.009999999999999995
module(iroutliner),delete_all,1,1,0.7418239796089717,0.8349447233261147,0.09312074371714296,0.0,0.09312074371714296,0.09312074371714296,0.09312074371714296,0.09312074371714296,0.09312074371714296,0.09462074371714291,-0.010000000000000002
module(iroutliner),delete_first,1,1,0.7418239796089717,0.7802643303236935,0.03844035071472174,0.0,0.03844035071472174,0.03844035071472174,0.03844035071472174,0.03844035071472174,0.03844035071472174,0.039940350714721684,-0.010000000000000002
module(attributor),delete_first,1,1,0.7418239796089717,0.7693021947936753,0.027478215184703614,0.0,0.027478215184703614,0.027478215184703614,0.027478215184703614,0.027478215184703614,0.027478215184703614,0.027478215184703614,0.0
function(gvn-hoist),delete_all,1,1,0.7902841345318173,0.8074948669185954,0.01721073238677806,0.0,0.01721073238677806,0.01721073238677806,0.01721073238677806,0.01721073238677806,0.01721073238677806,0.01721073238677806,0.0
