feature_name,feature_group,pass_name,scope,seed_count,mdi_mean,mdi_ci95_half_width,mdi_ci95_low,mdi_ci95_high,permutation_mean,permutation_ci95_half_width,permutation_ci95_low,permutation_ci95_high,permutation_std_mean,permutation_rank_mean
pass_freq:module(elim-avail-extern),pass_freq,module(elim-avail-extern),module,10,0.14414233114864902,0.07040454372444001,0.07373778742420901,0.21454687487308904,0.004726702578463429,0.0024013377569644624,0.002325364821498967,0.007128040335427892,0.0015903345534677845,1
pass_freq:module(scc-oz-module-inliner),pass_freq,module(scc-oz-module-inliner),module,10,0.12548269311505822,0.06204084123008925,0.06344185188496897,0.18752353434514746,0.0044365542480051465,0.0031525686020601666,0.0012839856459449799,0.0075891228500653135,0.0013418653377744848,2
synergy_rate,synergy,,,10,0.12900604103688454,0.05410825848294267,0.07489778255394186,0.18311429951982722,0.00414989037704164,0.0023573300131054763,0.0017925603639361637,0.006507220390147116,0.0016848624898694047,3
pass_freq:module(globalopt),pass_freq,module(globalopt),module,10,0.06167426797256491,0.0240157023089499,0.03765856566361501,0.08568997028151482,0.0010093127888771982,0.0007483244201781798,0.00026098836869901845,0.0017576372090553779,0.0005713387945840002,4
scope_ratio:function,scope_ratio,,function,10,0.07490191913152333,0.021022467104727598,0.053879452026795734,0.09592438623625094,0.000831978393827791,0.00035913860701198354,0.0004728397868158075,0.0011911170008397746,0.0005512392884487516,5
scope_ratio:module,scope_ratio,,module,10,0.07335208054455712,0.019076598890073095,0.05427548165448402,0.09242867943463022,0.000732231312121347,0.0004852862183061641,0.0002469450938151829,0.001217517530427511,0.0007939851565817401,6
pass_coverage,sequence_shape,,,10,0.04057105987102894,0.0188414988682428,0.021729561002786144,0.059412558739271745,0.0003680910082305829,0.0004901409235303525,-0.00012204991529976957,0.0008582319317609354,0.0005487588360332396,7
pass_freq:function(mem2reg),pass_freq,function(mem2reg),function,10,0.02203406760907423,0.010046955828580619,0.01198711178049361,0.03208102343765485,0.00036151440375646403,0.00031375172880649435,4.776267494996969e-05,0.0006752661325629583,0.0003265292917856489,8
pass_freq:function(gvn-sink),pass_freq,function(gvn-sink),function,10,0.013765748867804874,0.012456477639848163,0.0013092712279567115,0.02622222650765304,9.306971659007237e-05,0.00017854650795670317,-8.54767913666308e-05,0.0002716162245467755,0.00017765626610395636,9
pass_freq:function(reassociate),pass_freq,function(reassociate),function,10,0.007007197643039989,0.006206352528079194,0.0008008451149607949,0.013213550171119182,6.704548950072692e-05,0.00011410703681648015,-4.706154731575323e-05,0.00018115252631720706,0.00013011997798340494,10
